iter	RMSE
0	1.109751567
1	1.08868435
2	1.070300232
3	1.050533972
4	1.031820664
5	1.015217283
6	0.9993498617
7	0.98572235
8	0.9717940917
9	0.9594841209
10	0.9479566113
11	0.9370576952
12	0.9259549923
13	0.9172795271
14	0.907954751
15	0.8989415695
16	0.8911816547
17	0.8831637169
18	0.8751645428
19	0.8679810599
20	0.860500263
21	0.8543063285
22	0.8477858818
23	0.8414010361
24	0.8364583531
25	0.8302144142
26	0.8251669148
27	0.8203003839
28	0.8150330517
29	0.8105819529
30	0.8067164584
31	0.8025699156
32	0.7981600397
33	0.7946124852
34	0.7912314237
35	0.7876854206
36	0.7848088601
37	0.7820598253
38	0.77890914
39	0.7757811511
40	0.77318778
41	0.7712557401
42	0.7687876643
43	0.7656919618
44	0.7629589299
45	0.7600131697
46	0.7575675568
47	0.7550637576
48	0.75316968
49	0.7505209462
50	0.7489929896
51	0.7474077063
52	0.7450495252
53	0.7433217972
54	0.741061839
55	0.7388812716
56	0.7370127407
57	0.7350114887
58	0.7328504227
59	0.7309599109
60	0.7287337208
61	0.7269048598
62	0.7254363417
63	0.7236660094
64	0.7223423986
65	0.7210481565
66	0.719548268
67	0.7183784553
68	0.7166056793
69	0.7152987512
70	0.7135175433
71	0.7129943766
72	0.7118566644
73	0.7107806607
74	0.7095598404
75	0.7080513781
76	0.7071879029
77	0.7061346392
78	0.7047902436
79	0.7034443514
80	0.7022935703
81	0.7005112172
82	0.698532053
83	0.6975162225
84	0.6961495932
85	0.6952184639
86	0.6940621465
87	0.6928257765
88	0.6914382676
89	0.6904651546
90	0.6898219723
91	0.6884985042
92	0.687361486
93	0.6860835942
94	0.6847594405
95	0.6835519672
96	0.6826736423
97	0.6815660184
98	0.6807987128
99	0.6800883343
100	0.6786709715
101	0.6775843398
102	0.6769068017
103	0.6758665439
104	0.6748360806
105	0.6739908965
106	0.6729165899
107	0.6719095201
108	0.6709891617
109	0.6704092712
110	0.6694795964
111	0.6687231087
112	0.6680192431
113	0.6671067246
114	0.6664810453
115	0.6657485546
116	0.6647369204
117	0.6639606246
118	0.6630361038
119	0.6621929287
120	0.6617027289
121	0.6612384739
122	0.6605189948
123	0.6598609066
124	0.6588724267
125	0.6579338785
126	0.6573359951
127	0.6562871934
128	0.6555590118
129	0.6545445493
130	0.6536141227
131	0.6528052088
132	0.6516828666
133	0.6507952913
134	0.6496657091
135	0.6486825195
136	0.6478055477
137	0.6469508136
138	0.6465401119
139	0.6458294102
140	0.6449450603
141	0.6441274697
142	0.643127091
143	0.6421848988
144	0.6414016525
145	0.6407763906
146	0.6401431211
147	0.6393823086
148	0.6385655527
149	0.6378299389
150	0.6372994779
151	0.6367953429
152	0.6359722639
153	0.6350326669
154	0.6341935659
155	0.6328724402
156	0.6320296348
157	0.631095403
158	0.6305002445
159	0.6299879856
160	0.6295342651
161	0.6290245968
162	0.6281239689
163	0.6274128955
164	0.6266158762
165	0.6258842748
166	0.6248398451
167	0.6239627557
168	0.6228945831
169	0.6221390035
170	0.6213398632
171	0.6203202759
172	0.6195580718
173	0.618919812
174	0.6183623195
175	0.6175522002
176	0.6167138355
177	0.6158955003
178	0.6150470086
179	0.6142300972
180	0.6132883213
181	0.6124941846
182	0.6115695977
183	0.6106738892
184	0.6099668409
185	0.6091605778
186	0.6086442813
187	0.6081237379
188	0.6072634374
189	0.6066886634
190	0.6058705612
191	0.6051742485
192	0.6045011045
193	0.6037007982
194	0.603166749
195	0.6024188964
196	0.6017011905
197	0.6010461157
198	0.6004857885
199	0.5995864711
200	0.5988898236
201	0.5980999773
202	0.5969034062
203	0.5962855806
204	0.5958500234
205	0.5953705942
206	0.5945988239
207	0.5938822183
208	0.5930867606
209	0.5920355898
210	0.5913632843
211	0.5906054691
212	0.5900264135
213	0.5894602315
214	0.5887583236
215	0.5879096894
216	0.5873439364
217	0.5870278907
218	0.5860937868
219	0.5853442986
220	0.5846691937
221	0.5838479518
222	0.583288286
223	0.5822819911
224	0.5815796414
225	0.58101168
226	0.5804026945
227	0.5796319331
228	0.5791731369
229	0.5783761999
230	0.577896078
231	0.5773061777
232	0.5768445549
233	0.5761201958
234	0.5754902795
235	0.5748688113
236	0.5744027645
237	0.5736745125
238	0.5728653789
239	0.5722564189
240	0.5712929553
241	0.5705969522
242	0.569681582
243	0.5691307088
244	0.5686205327
245	0.567591357
246	0.5669784677
247	0.5664017013
248	0.5657357419
249	0.564972829
250	0.5644150427
251	0.563700502
252	0.5628954569
253	0.5621328954
254	0.5613542819
255	0.5604790578
256	0.5600626349
257	0.5595200323
258	0.5585846161
259	0.5577137482
260	0.5569268196
261	0.5563707393
262	0.5555757014
263	0.5548130905
264	0.5543620012
265	0.5535433504
266	0.5528822154
267	0.5523031654
268	0.5516697574
269	0.5509575964
270	0.55009154
271	0.5495032896
272	0.5489709048
273	0.5480995146
274	0.5474933378
275	0.5468660114
276	0.5461770016
277	0.5455116156
278	0.5449663914
279	0.5442621821
280	0.5435709657
281	0.5427978521
282	0.542148844
283	0.5416481761
284	0.5411150763
285	0.5405911731
286	0.5399497234
287	0.5394434966
288	0.5388252671
289	0.5382098347
290	0.5376719347
291	0.5370668816
292	0.5363117951
293	0.5357038555
294	0.535216466
295	0.5347967321
296	0.5344040621
297	0.5338513069
298	0.5332677001
299	0.5326799394
300	0.5321971814
301	0.5316761811
302	0.5311295471
303	0.5305742654
304	0.5297861121
305	0.5292315449
306	0.5287924787
307	0.5280775173
308	0.527461276
309	0.5268106031
310	0.5263384341
311	0.5256325016
312	0.5250076455
313	0.524418008
314	0.523958894
315	0.5234110214
316	0.5228128167
317	0.522314138
318	0.5217544747
319	0.5213525634
320	0.5207645601
321	0.5205025384
322	0.5201699466
323	0.5194040763
324	0.5186727073
325	0.5182064503
326	0.5173094607
327	0.5168595105
328	0.5161738347
329	0.5154214266
330	0.5150071106
331	0.5144481124
332	0.5140596419
333	0.5136615327
334	0.5129713859
335	0.5123103994
336	0.5117554789
337	0.5110764845
338	0.5103747553
339	0.5097322588
340	0.5089618832
341	0.5084294868
342	0.5077707024
343	0.5073165001
344	0.5068638069
345	0.5063939901
346	0.505582066
347	0.5051024341
348	0.5044335958
349	0.5038999714
350	0.5032986567
351	0.5027618509
352	0.5021811717
353	0.5017215025
354	0.5012841146
355	0.5009498122
356	0.5004143288
357	0.5000159878
358	0.4994472409
359	0.4989231463
360	0.4986007893
361	0.4979578574
362	0.49743441
363	0.4969922845
364	0.4965604225
365	0.4961644997
366	0.4955306147
367	0.494771022
368	0.4942358527
369	0.4937843771
370	0.4933846962
371	0.4929156517
372	0.4923910664
373	0.4919825494
374	0.491521455
375	0.4909473371
376	0.4905070022
377	0.4900647525
378	0.4896206686
379	0.4890757905
380	0.4885938359
381	0.4881805661
382	0.4875540342
383	0.487175874
384	0.4866510026
385	0.486393596
386	0.4858909919
387	0.4852482525
388	0.4847363128
389	0.4841795054
390	0.4835827429
391	0.482968859
392	0.4824982343
393	0.4820882263
394	0.4814107172
395	0.4808783803
396	0.4804525526
397	0.4798744663
398	0.4793053195
399	0.4787931751
400	0.4782736685
401	0.4777254711
402	0.4771989893
403	0.4768193042
404	0.4763434502
405	0.4760602872
406	0.4755947848
407	0.4750768811
408	0.4747587913
409	0.4742902066
410	0.4739175029
411	0.4735585419
412	0.4730684316
413	0.4726547644
414	0.4722441994
415	0.4719137555
416	0.4716968122
417	0.4711690747
418	0.4706289207
419	0.4702030978
420	0.4696269742
421	0.4691603939
422	0.468769701
423	0.4682426772
424	0.4678330959
425	0.4675264301
426	0.4670805068
427	0.4667283664
428	0.4662796712
429	0.4656521813
430	0.465303421
431	0.4646947187
432	0.4643467157
433	0.4637270245
434	0.4633766668
435	0.462912619
436	0.4623407045
437	0.4618001924
438	0.4613353577
439	0.4609456964
440	0.4603245915
441	0.4598694508
442	0.4594745994
443	0.4587933258
444	0.4582934304
445	0.4579509833
446	0.4575202402
447	0.4571509504
448	0.4565947107
449	0.4562143588
450	0.4558588151
451	0.4553257036
452	0.4549049833
453	0.4543303609
454	0.4540802675
455	0.4535149472
456	0.4530959603
457	0.4525363634
458	0.4519133852
459	0.4515820682
460	0.4510490797
461	0.4508761294
462	0.4503448771
463	0.4499258684
464	0.4495418925
465	0.4492692024
466	0.4488527613
467	0.4483593132
468	0.4481029017
469	0.4477990877
470	0.4474764508
471	0.4470667397
472	0.4467440061
473	0.4465082282
474	0.4460741045
475	0.4454982313
476	0.4451019229
477	0.4447275198
478	0.4443052895
479	0.4438142552
480	0.4436113115
481	0.4431054176
482	0.4429617961
483	0.4425681134
484	0.4421472424
485	0.4417250646
486	0.4413712699
487	0.4409432097
488	0.4405620212
489	0.440520726
490	0.4399363813
491	0.4394897945
492	0.4394387689
493	0.4390299527
494	0.4385174686
495	0.4381090563
496	0.4376034711
497	0.4371936848
498	0.4369167544
499	0.4366052886
