target_chembl_id,target_name,accession,n_records,n_compounds,mean_pchembl,std_pchembl
CHEMBL1293224,Microtubule-associated protein tau,P10636,94973,66901,4.916459204194877,0.4872683466185093
CHEMBL1293231,Nuclear receptor ROR-gamma,P51450,89187,63229,5.033062105463801,0.580475387581654
CHEMBL3577,Aldehyde dehydrogenase 1A1,P00352,76317,75590,4.72348480679272,0.46866154218043937
CHEMBL2026,Beta-lactamase AmpC,P00811,62035,61817,5.047072781494317,0.8264602044010043
CHEMBL1293254,Ferritin light chain,P02791,42619,42339,4.662289119876112,0.40309703347061976
CHEMBL1293226,Lysine-specific demethylase 4D-like,B2RXH2,40010,39461,4.625217195701075,0.3335070209220603
CHEMBL1293235,Prelamin-A/C,P02545,36635,36125,5.254360584140849,0.9719004988674133
CHEMBL2608,Lysosomal alpha-glucosidase,P10253,35113,22048,4.7968945974425425,0.5762089232685542
CHEMBL1293232,Survival motor neuron protein,Q16637,33705,33423,5.288825100133511,0.9314435738780398
CHEMBL1293303,Nonstructural protein 1,Q194T2,32299,32254,5.098995324932661,0.4238243309939297
CHEMBL3563,Cruzipain,P25779,31494,29509,4.701598399695181,0.5407467848030165
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,28822,16281,4.955572479356047,0.6000879070056625
CHEMBL6110,Thioredoxin glutathione reductase,Q962Y6,28481,28379,4.636438327305923,0.5617526090882748
CHEMBL340,Cytochrome P450 3A4,P08684,28445,15844,5.2435141501142555,0.6400403061537836
CHEMBL4096,Cellular tumor antigen p53,P04637,26173,16964,5.205404042333703,0.9037759289256905
CHEMBL1293255,15-hydroxyprostaglandin dehydrogenase [NAD+],P15428,24625,24221,4.740964873096447,0.44982254436471697
CHEMBL1293248,4'-phosphopantetheinyl transferase ffp,Q9F4F7,24616,24015,4.489256581085472,0.4440029533747248
CHEMBL2392,DNA polymerase beta,P06746,23131,23051,4.663638407332152,0.7174910648129518
CHEMBL1293294,Ras-related protein Rab-9A,P51151,21978,21932,5.628139958139958,0.3900045071037166
CHEMBL4159,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,Q99714,20500,15191,4.739746341463415,0.4574364052316315
CHEMBL5514,Huntingtin,P42858,19035,18740,5.026001050696086,0.5830209684182662
CHEMBL1293277,Niemann-Pick C1 protein,O15118,18600,18550,5.618834408602151,0.36574962812209383
CHEMBL4040,MAP kinase ERK2,P28482,17654,16667,5.522170612892262,1.4968449498314216
CHEMBL1293299,Histone-lysine N-methyltransferase MLL,Q03164,17202,17178,4.708028136263225,0.5184738393111061
CHEMBL1293238,Inositol monophosphatase 1,P97697,16196,15295,5.273128550259323,0.8087941151729541
CHEMBL1293234,"Putative fructose-1,6-bisphosphate aldolase",A8B2U2,15532,14708,4.883741952098893,0.3914274158945061
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15522,15044,5.047829532276769,0.5246454205233303
CHEMBL3622,Cytochrome P450 2C19,P33261,14180,10999,5.306971086036672,0.717939490343915
CHEMBL203,Epidermal growth factor receptor erbB1,P00533,14061,7945,6.969701301472157,1.3514492338535022
CHEMBL1287622,Lethal(3)malignant brain tumor-like protein 1,Q9Y468,13912,13876,5.016606526739506,0.7515919076648364
CHEMBL1075189,Pyruvate kinase isozymes M1/M2,P14618,13659,6835,4.952759352807673,0.6629466751101376
CHEMBL3397,Cytochrome P450 2C9,P11712,13260,10508,5.29215233785822,0.6928693068186519
