accession,n_records,mean_pchembl,std_pchembl
P08684,18570,5.14385535810447,0.6677592662714715
P05177,12832,5.250709710099751,0.7093818336403914
P11712,12676,5.179378352792679,0.6859876646765323
P33261,12443,5.209170216185807,0.6855535278635482
P10635,11252,5.106512619978671,0.7401358845857857
P03372,5967,6.1793207642031165,1.5232437340618148
P37231,5739,5.912723819480746,1.2438194230983568
P10828,5226,5.366037313432836,1.441640122571984
P10275,3541,6.2620824625811915,1.224719292168794
P04150,3343,6.817093927609932,1.3618035995833033
Q07869,3276,5.966693223443223,1.1238039964783144
Q92731,2646,6.545968253968255,1.3981611741623692
P08183,2158,5.818288693234477,1.3592291549828035
Q03181,1998,6.306691691691692,1.290664705923158
P55055,1814,5.39429658213892,1.288956492568538
Q96RI1,1571,6.1497963080840226,1.085535282799653
O75469,1376,5.185819767441861,0.8807559733453468
Q9UNQ0,1354,6.259163220088626,1.626722967170638
P10276,1309,5.293321619556913,1.1504345321845284
P08235,1161,6.372490094745909,0.986254054725326
Q13133,1032,6.135666666666666,1.128506620436879
P11473,850,5.65498,1.567467772772633
P19793,813,6.341086100861008,1.2819965090544354
P35869,565,5.838219469026549,1.2381404845773212
P10827,564,6.00579609929078,1.4694265731604812
Q92887,536,3.97628171641791,0.32730550609375875
P20813,471,4.735696390658174,0.5922138191778737
P13631,387,6.506266149870801,1.4362304121750038
P10826,351,6.651752136752136,1.3313329533493843
P28702,280,6.145142857142858,1.2385021973255996
P48443,261,6.0858888888888885,1.2811026857566845
P11474,240,6.194745833333333,1.1179566078207213
P62508,192,6.14696875,0.8611045987035355
P41235,185,5.280064864864865,0.6464056860726659
P20815,181,5.018243093922652,0.7706606231880517
P05181,151,4.629496688741722,0.6073647654600125
Q14994,145,5.852096551724138,0.891135233565543
Q9Y6L6,135,5.551985185185186,0.750168259585362
P02768,128,5.2581796875,1.005835097343854
O95718,108,5.8793796296296295,0.7945354455029738
Q9NPD5,94,5.352234042553191,0.6311581507845411
