cid,smiles,ik
17931,CN1C(=S)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,MWGWTOPCKLQYEU-UHFFFAOYSA-N
14708,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=NON=C5C4)C,RGLLOUBXMOGLDQ-IVEVATEUSA-N
92140,CCCC(=O)OC[C@H]([C@H]([C@H](CN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC,MJNIWUJSIGSWKK-BBANNHEPSA-N
6505,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,QZCLKYGREBVARF-UHFFFAOYSA-N
92942,C[C@H](CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,ACRMUSVWIFZVSM-JTHHODAVSA-N
62300,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=C(C=C3)F,KXUBAVLIJFTASZ-UHFFFAOYSA-N
119057604,CCC(=O)N([C@H]1CCN(C[C@H]1C)CCC2=CC=CC=C2)C3=CC=CC=C3.Cl,GQIWDGKLQJBQJU-GVWAYPJCSA-N
60196318,CCC(=O)N(C1CCN(CC1)CC2=CC=CC=C2)C3=CC=CC=C3.Cl,IHEUGHQOXFVWOX-UHFFFAOYSA-N
60196321,CCC(=O)N(C1CCN(CC1)CC(C2=CC=CC=C2)O)C3=CC=CC=C3.Cl,NTUISTSMMNDSGF-UHFFFAOYSA-N
60196322,CCC(=O)N(C1CCN(CC1)C(C)CC2=CC=CS2)C3=CC=CC=C3.Cl,ZPCTWZBZFKQKPU-UHFFFAOYSA-N
91864482,CCC(=O)N([C@H]1CCN(C[C@H]1C)CCC2=CC=CS2)C3=CC=CC=C3.Cl,BZESOWZMHVTLLQ-XLCHORMMSA-N
46783063,CCC(=O)N(C1CCN(CC1)CC2=CC=CS2)C3=CC=CC=C3.Cl,PXIVVZPZKLVXAH-UHFFFAOYSA-N
9567,CC1=NC2=CC=CC=C2C(=O)N1C3=CC=CC=C3Cl,SFITWQDBYUMAPS-UHFFFAOYSA-N
12626562,CC(CC1=CC(=C(C=C1OC)Br)OC)N.Cl,SPBBKPOIDQIWDZ-UHFFFAOYSA-N
12259683,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O.C(CC(=O)O)C(=O)O,KFPNZIZLGZZGHO-DTOXXUQYSA-N
64761,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC.Cl,AQORHZJDCHLLJN-UHFFFAOYSA-N
65494,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,OJCZPLDERGDQRJ-UHFFFAOYSA-N
14184,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,FJQXCDYVZAHXNS-UHFFFAOYSA-N
5281091,CC(C)(C)C(C)([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O.Cl,UAIXRPCCYXNJMQ-CYVYHKOSSA-N
5362115,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N(CC(=O)O)C2CC3=CC=CC=C3C2.Cl,FDJCVHVKXFIEPJ-JCNFZFLDSA-N
3307,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C,VMZUTJCNQWMAGF-UHFFFAOYSA-N
5282199,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CCC(=O)C)/C)/C)/C)C,HUCXKZBETONXFO-NJFMWZAGSA-N
3047798,CC1CC(=O)NN=C1C2=CC=C(C=C2)NCC(C)(C)NCC(COC3=C(C=CC(=C3)Cl)C#N)O,SHAJOALCPZUGLR-UHFFFAOYSA-N
5282215,C1CCNC2=C(C1)C=CC(=C2)C(=O)CCC3CCN(CC3)CC4=CC=CC=C4.C(=C/C(=O)O)\C(=O)O,CWEHWZPCDBRUNO-WLHGVMLRSA-N
27891,CCCCNC1=CC=C(C=C1)C(=O)OCC[NH+](CC)CC.[Cl-],XTIUAXFQEAMQRU-UHFFFAOYSA-N
3003141,C1[C@H](S/C(=C(\C#N)/N2C=CN=C2)/S1)C3=C(C=C(C=C3)Cl)Cl,YTAOBBFIOAEMLL-REQDGWNSSA-N
132916,C1CN2C(=O)[C@H](N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5,WKJDXKWFGJWGAS-XMMPIXPASA-N
10455790,C1CN2C(=O)[C@@H](N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5,WKJDXKWFGJWGAS-DEOSSOPVSA-N
133264,CCCCCOC1=C(C=C(C=C1)C2C(=O)NC(=O)S2)OCC,CRPGRUONUFDYBG-UHFFFAOYSA-N
3309,CCN1C(C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)OCCN4CCCCC4,ITIONVBQFUNVJV-UHFFFAOYSA-N
9568078,CC1=CC=C(C=C1)/C=N/N2C(=CSC2=S)C3=CC=CC=C3,SRANDCPSMJNFCK-WOJGMQOQSA-N
20054967,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C)C1=CC=CC=C1,RWIUTHWKQHRQNP-NQLNTKRDSA-N
65953,CC1=C(C(C(=C(N1)COC(=O)N)C(=O)OC(C)C)C2=C(C(=CC=C2)Cl)Cl)C(=O)OC,WTOVRSWDBLIFHU-UHFFFAOYSA-N
443947,CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]2([C@H]1O)C,FCKLFGKATYPJPG-SSTBVEFVSA-N
34051,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=C(CCC3)C=C2,ANJNOJFLVNXCHT-UHFFFAOYSA-N
119175,CC1C2=NN=C(N2C3=C(C=C(S3)CCC4=CC=C(C=C4)CC(C)C)C(=N1)C5=CC=CC=C5Cl)C,RMSWMRJVUJSDGN-UHFFFAOYSA-N
15004,CCCOC(=O)CC1=CC(=C(C=C1)OCC(=O)N(CC)CC)OC,KEJXLQUPYHWCNM-UHFFFAOYSA-N
9570475,C/C(=N\O)/C1=CC=C(C=C1)OCC(=O)N2CCCCC2,XUDSQIDNHJMBBW-FOWTUZBSSA-N
35751,CC(=O)C1=CC=C(C=C1)OCC(=O)N2CCCCC2,HFHLKKYWNAOHCI-UHFFFAOYSA-N
27901,CN1CCC(CC1)N(CC2=CC=CS2)C3=CC=CC=C3,KLOHYVOVXOUKQI-UHFFFAOYSA-N
31473,CC(C)CCOCC(CN1CCOCC1)OC(=O)C2=CC(=C(C(=C2)OC)OC)OC,YOKPRDAUBGOISU-UHFFFAOYSA-N
4921,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CC1)CCOC(=O)CC2=C(N(C3=C2C=C(C=C3)OC)C(=O)C4=CC=C(C=C4)Cl)C)NC(=O)C5=CC=CC=C5,PTXGHCGBYMQQIG-UHFFFAOYSA-N
4047,CC1(CCCO1)CN(C)S(=O)(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N,SMNOERSLNYGGOU-UHFFFAOYSA-N
208836,CC(C(C1=CC=CC=C1)O)N(C)CCOC(C2=CC=CC=C2)C3=CC=CC=C3,OEHKWMHRFWWMQK-UHFFFAOYSA-N
3300,CCOC(=O)C1=CC=C(C=C1)NC(=O)CN2CCCCC2,QLGIFPJNYPWBMQ-UHFFFAOYSA-N
