name,train_oof_path,te_path,train_oof_rae,te_unblind_rae,tr_std,te_std
oof_adaptive_delta_4tier,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_adaptive_delta_4tier.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_adaptive_delta_4tier.npy,0.16259315889719428,0.8340909805149134,1.0234265135393827,0.5299088724172094
oof_grand_v11,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_grand_v11.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_grand_v11.npy,0.16259551516791051,0.8340866587005172,1.0234262486399388,0.5299067704530993
oof_aux_features,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_aux_features.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_aux_features.npy,0.21789452586055724,0.9753371329879014,1.0717456979412017,0.10645523301081163
oof_creative_mega_ensemble,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_creative_mega_ensemble.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_creative_mega_ensemble.npy,0.21814046175621926,0.9586110289147541,1.0796620915205557,0.11698720768226223
oof_grand_v6,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_grand_v6.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_grand_v6.npy,0.21885591526804363,0.9594087618627027,1.079650335894431,0.11757058354954047
oof_full_desc_delta_3tier,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_full_desc_delta_3tier.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_full_desc_delta_3tier.npy,0.2266283667976146,0.8127950578363149,1.0287328969765108,0.5279877533895249
oof_allfp_delta_3tier,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_allfp_delta_3tier.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_allfp_delta_3tier.npy,0.2332632687740344,0.8171364885241714,1.0248827805406213,0.5272738993378432
oof_grand_v10,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_grand_v10.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_grand_v10.npy,0.24725779491094643,0.8164649282752144,1.0138658295206038,0.5288019648123211
oof_blend_optimizer,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_blend_optimizer.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_blend_optimizer.npy,0.24725779491094643,0.8164649282752144,1.0138658295206038,0.5288019648123211
oof_enhanced_delta_3tier,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_enhanced_delta_3tier.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_enhanced_delta_3tier.npy,0.24795755973330635,0.8211098858175989,1.0134315413407282,0.5303875548510527
oof_nb244_deep_greedy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb244_deep_greedy.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb244_deep_greedy.npy,0.26273028720571,0.7631447643287709,1.0364628513832932,0.49914762858318584
oof_nb243_greedy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb243_greedy.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb243_greedy.npy,0.2638447011275193,0.7611061839212089,1.034722841900829,0.5025886950174533
oof_grand_v9,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_grand_v9.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_grand_v9.npy,0.274802188340226,0.7984748782336399,1.0354239981696705,0.550543092287502
oof_delta_ensemble_blend,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_delta_ensemble_blend.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_delta_ensemble_blend.npy,0.2748449364537898,0.8004716673993071,1.0346982008461496,0.5519495288898716
oof_delta_similarity_tiers,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_delta_similarity_tiers.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_delta_similarity_tiers.npy,0.27720728460998817,0.8200515043566124,0.9937314509701771,0.5369115389756869
oof_nb242_huber,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb242_huber.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb242_huber.npy,0.280672867540021,0.7518803273873399,1.0347334235544623,0.5302762620949583
oof_nb242_nonlin_stack,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb242_nonlin_stack.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb242_nonlin_stack.npy,0.2813696788930987,0.762817844719159,1.0270192080639235,0.49346085380607124
oof_nb308_active,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb308_active.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb308_active.npy,0.2834678304468013,0.7297975172397835,1.0024995355799637,0.513671557403759
oof_nb304_cel,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb304_cel.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb304_cel.npy,0.2834678305089875,0.7423068173433498,1.002500772398696,0.5368264642690322
