cycle,nb_lo,nb_hi,descriptor,best_rae,count
1,910,919,gp_tanimoto; al_chembl_proxy; moe_sparse_routing,,n=5
2,920,929,schnet_3d; scaffold_maml; triple_head_multitask,,n=4
3,930,939,rf_tanimoto; catboost_ordered,,n=2
4,940,949,(no method),,
5,950,959,chemprop_aux_v2; tanimoto_ood; ensemble_v2,,n=4
6,960,969,pseudo_label_self_train; extra_trees,,n=2
7,970,979,multi_conformer; rdkit_only; long_train_optim,0.556451747496649,n=3
8,980,989,aggressive_chembl; tox21_full; best_blend,0.3801129655557607,n=10
9,990,999,(no method),,
10,1000,1009,extended_stretch_nb982; crossfit_nb988; stretch_nb986,,n=4
11,1010,1019,cf4way_with_ph; cf_chemprop_stretch_only; isotonic_on_nb1001,,n=5
12,1020,1029,bigger_bag; stretch_only_bag; anchor_diversified_bag,0.5519568934595281,n=5
13,1030,1039,mordred_lgbm; multi_objective_ensem; sp_only_training,0.5648236977855738,n=5
14,1040,1049,avalon_fp_lgbm; better_sp_mapping; pubchem_pxr_join,0.6850962747953251,n=3
15,1050,1059,triple_ortho_bag; quad_ortho_bag; meta_stack_lgbm,,n=4
16,1060,1069,bag_nb1053; finer_bins; lowess_stretch,,n=5
17,1070,1079,median_bag; 15seed_bag; tikhonov_bins,,n=5
18,1080,1089,3way_anchor_perq; chemprop_seed_bag; beta_calibration,,n=5
19,1090,1099,nb120_anchor; chain_nb1070; grand_slsqp6,,n=5
20,1100,1109,tabpfn_pca50; linear_ridge; xgb_extreme,,n=4
21,1110,1119,weak_ortho_aggregation; adaptive_route; meta_mlp,,n=4
22,1120,1129,lb_delta_model; boltzmann_ensemble; residual_gb,,n=4
23,1130,1139,bag_nb1123; deploy_residual; deeper_residual,0.5695862563900046,n=5
24,1140,1149,deploy_nb1130; chemprop_residual_bag; combined_residual_bag,0.5696868980059522,n=5
25,1150,1159,deploy_nb1143; bag_nb1143; residual_on_nb1143,0.5633798773583018,n=5
26,1160,1169,bag_nb1153; combine_residuals; deploy_nb1153,0.5816559634686868,n=5
27,1170,1179,deploy_nb1161_mean; concat_feature_residual; atompair_residual,0.5635639527686158,n=5
28,1180,1189,blend_mordred_atompair; triple_blend; concat_mord_ap_residual,0.5561195918562121,n=5
29,1190,1199,bag_nb1181; deploy_nb1181; 4way_blend,0.551368245619977,n=5
30,1200,1209,bag_nb1183; deploy_nb1183_nb1192_nb1190; 5way_blend,0.5529437319357877,n=5
31,1210,1219,deploy_nb1200; combine_bob; extratrees_maccs,0.5504492319184646,n=5
32,1220,1229,deploy_nb1211_mean; triple_bob; perq_chain_nb1211,,n=5
33,1230,1239,mordred_bob; alt_anchor_chemprop; multi_anchor_blend,0.5468769909294511,n=5
34,1240,1249,pred_counter_residual; pred_singleconc_residual; chembl_knn_feat,0.5471269941650321,n=5
35,1250,1259,deploy_nb1242; combine_chembl_bob; chembl_bob,0.5606688947939112,n=5
36,1260,1269,deploy_nb1251; deploy_nb1252plus1211; triple_chembl_bob,0.5623871304474597,n=6
37,1270,1279,chembl_pubchem_union; multi_source_blend; bindingdb_pxr,0.5573395375108627,n=5
38,1280,1289,ridge_residual; meta_stack; anchor_refresh,0.547146957841148,n=5
39,1290,1299,direct_1190_1242; 3way_grid; nr_family_chembl,0.5390501174970456,n=5
40,1300,1309,chemberta_residual; per_row_routing; uncertainty_blend,0.5389994102823439,n=5
41,1310,1319,svr_tanimoto; gp_tanimoto; chemprop_embed_residual,0.560800261927234,n=5
42,1320,1329,mega_deploy_ensemble; quantile_residual; isotonic_nb1290,0.5471057476074286,n=4
43,1330,1339,rank_stretch_nb1290; bag_nb1290; mordred_chembl_knn,0.5597175145464156,n=4
44,1340,1349,pls_residual; catboost_residual; k_sequence_chembl,0.5394826180098984,n=5
45,1350,1359,catboost_blend; bag_catboost; shap_pruned_maccs,0.5314551927457823,n=5
46,1360,1369,deploy_nb1352; bag_nb1352; shap_K_grid,0.5282239531946421,n=5
47,1370,1379,deploy_nb1352_outer_bagged; catboost_pruned; dual_pruned,0.5127835076028625,n=5
48,1380,1389,deploy_nb1373; bag_nb1373; shap_pruned_morgan,0.5186847028786055,n=5
49,1390,1399,deploy_nb1381; blend_1373_1352; shap_pruned_avalon,0.5076454604858259,n=5
50,1400,1409,quad_pruned_blend; atompair_K_grid_ext; bag_nb1391,0.5187686944685885,n=4
51,1410,1419,deploy_nb1403; 3way_pruned_blend; mordred_K_grid,0.5041880801057468,n=5
52,1420,1429,deploy_nb1411; upgraded_3way; bag_nb1411,,n=5
53,1430,1439,deploy_nb1422; bob_component_3way; atompair_K_bottom,0.4990033541981421,n=5
54,1440,1449,mordred_K15_bob; catboost_3way_pruned; robust_ensemble,0.5097096354390487,n=5
55,1450,1459,deploy_nb1441_blend; crossfit_blend_nb1441_nb1422; bag_nb1441,,n=5
56,1460,1469,chemprop_anchor_atompair_pruned; atompair_union_pool; shap_pruned_chemprop_embed,0.5155023178864981,n=5
57,1470,1479,deploy_nb1460; blend_embed_atompair; preunblind_3way,0.4995016735389366,n=5
58,1480,1489,deploy_nb1472; deploy_nb1471; bag_nb1472,0.5456345459358944,n=5
59,1490,1499,deploy_nb1482; deploy_nb1484; preunblind_5way,,n=5
60,1500,1509,bag_nb1484; catboost_preunblind_4way; rank_stretch_nb1484,0.5289236660555422,n=5
61,1510,1519,deploy_nb1500; blend_catboost_nb1484; bag_nb1501,0.5201291251638556,n=5
62,1520,1529,blend_bob_bob; bag_nb1511; alt_anchor_residual,0.5345383503198735,n=5
63,1530,1539,deploy_nb1521; xgboost_preunblind_4way; sample_weighted_nb1484,0.5409483558129603,n=5
64,1540,1549,catboost_depth3_preunblind; chemprop_K_grid_preunblind; catboost_best_K,0.5226276939078798,n=4
65,1550,1559,nb1484_upgrade_embed_K20; bag_nb1550; deploy_nb1550,0.51737875150392,n=5
66,1560,1569,bag_nb1553; bag_nb1554; deploy_nb1553,,n=5
67,1570,1579,deploy_nb1561; blend_catboost_lgbm_bob; avalon_K_grid_pre,0.5246952395203475,n=5
68,1580,1589,5way_avalon_K20; catboost_upgraded_5way; bag_nb1581,0.5282717273264873,n=5
69,1590,1599,bag_nb1571; blend_nb1561_nb1572,,n=2
70,1600,1609,deploy_nb1590; catboost_variants_ensemble; catboost_d5_5way_K,0.51737875150392,n=5
71,1610,1619,deploy_nb1590_compact; chemberta_K_grid_pre; preunblind_6way_chemberta,,n=4
72,1620,1629,catboost_6way_chemberta; chemberta_K_grid_ext; blend_nb1561_nb1612,0.5308450710274318,n=4
73,1630,1639,deploy_nb1622; three_arch_blend; bag_nb1622,0.52932794942298,n=4
74,1640,1649,histgbm_5way_K; audit_top5,0.5210599581401365,n=2
75,1650,1659,(no method),,
76,1660,1669,deploy_nb1632; triple_blend_final,,n=2
77,1670,1679,bag_nb1632_10seed,,n=1
78,1680,1689,deploy_nb1673; blend_PREPOST; dual_anchor_Mord,0.5380449174102262,n=3
79,1690,1699,direct_chembl_knn; catboost_sample_weighted,0.527131279605462,n=2
80,1700,1709,histgbm_absloss; catboost_alt_params,0.5210599581401365,n=2
81,1710,1719,lgbm_quantile; catboost_mid_depth; deploy_nb1411_alt,0.5191389383961859,n=3
82,1720,1729,catboost_depth2; catboost_all_variants_ensemble; extra_trees,0.5359062734342306,n=3
83,1730,1739,catboost_feature_weights; final_4way_blend,0.5106505828732308,n=2
84,1740,1749,xgboost_huber; 3way_final_constrained,0.5106505828732308,n=2
