nb,name,tag,paradigms,best_rae_summary,rae_field
97,nb97_pxr_physics_features,pxr_physics_features,Other,,
98,nb98_chembl_bayesian_fp,chembl_bayesian_fp,"ExternalData,Bayesian",,
99,nb99_sc_bio_fingerprint,sc_bio_fingerprint,Other,,
100,nb100_emax_correction,emax_correction,Other,,
101,nb101_transductive_delta,transductive_delta,Residual,,
102,nb102_batch1_ensemble,batch1_ensemble,Ensemble,,
103,nb103_seed_propagation,seed_propagation,SeedBag,,
105,nb105_unimol_kaggle,unimol_kaggle,GNN_3D,,
107,nb107_assay_decomposition,assay_decomposition,Other,,
108,nb108_grand_ensemble_v2,grand_ensemble_v2,Ensemble,,
109,nb109_deep_meta_stack,deep_meta_stack,"Stacking,Meta",,
110,nb110_scaffold_prior_residual,scaffold_prior_residual,"Residual,ScaffoldAware,Prior",,
111,nb111_selectivity_primary,selectivity_primary,Other,,
112,nb112_grand_ensemble_v3,grand_ensemble_v3,Ensemble,,
113,nb113_final_submission,final_submission,Other,,
114,nb114_isotonic_calibration,isotonic_calibration,"IsotonicCalib,Calibration",,
115,nb115_extreme_weighted,extreme_weighted,Other,,
116,nb116_quantile_regression,quantile_regression,QuantileReg,,
117,nb117_knn_residual_correction,knn_residual_correction,"Residual,kNN",,
118,nb118_random_forest,random_forest,Other,,
119,nb119_optuna_ensemble,optuna_ensemble,"Ensemble,HPO",,
120,nb120_huber_lgbm,huber_lgbm,"LGBM,HuberLoss",,
121,nb121_test_sim_weighted,test_sim_weighted,Other,,
122,nb122_nonlinear_meta,nonlinear_meta,Meta,,
123,nb123_lad_regression,lad_regression,LAD,,
124,nb124_scaffold_specific_lgbm,scaffold_specific_lgbm,"LGBM,ScaffoldAware",,
125,nb125_grand_ensemble_v4,grand_ensemble_v4,Ensemble,,
126,nb126_classifier_conditioned,classifier_conditioned,Classifier,,
127,nb127_exhaustive_3way,exhaustive_3way,Other,,
128,nb128_rf_augmented,rf_augmented,"RF,DataAug",,
129,nb129_post_hoc_reoptimize,post_hoc_reoptimize,Other,,
130,nb130_external_pxr_augment,external_pxr_augment,"DataAug,ExternalData",,
131,nb131_pseudo_label_refinement,pseudo_label_refinement,PseudoLabel,,
132,nb132_diverse_seed_ensemble,diverse_seed_ensemble,"Ensemble,SeedBag",,
133,nb133_neighbor_aware_lgbm,neighbor_aware_lgbm,LGBM,,
134,nb134_grand_ensemble_v9,grand_ensemble_v9,Ensemble,,
135,nb135_sc_neighborhood_lgbm,sc_neighborhood_lgbm,LGBM,,
136,nb136_xgboost_meta,xgboost_meta,"XGBoost,Meta",,
137,nb137_counter_assay_expanded,counter_assay_expanded,CounterAssay,,
138,nb138_elnet_final_blend,elnet_final_blend,"Ensemble,ElasticNet",,
139,nb139_adaptive_blend,adaptive_blend,"Ensemble,AdaptiveBlend",,
140,nb140_save_best,save_best,Other,,
141,nb141_xgb_meta_ablation,xgb_meta_ablation,"XGBoost,Meta",,
142,nb142_xgb_calibrated,xgb_calibrated,"XGBoost,Calibration",,
143,nb143_oofassay_meta_tuned,oofassay_meta_tuned,Meta,,
144,nb144_grand_ensemble_v10,grand_ensemble_v10,Ensemble,,
145,nb145_level3_meta,level3_meta,Meta,,
146,nb146_analogy_chain_chembl,analogy_chain_chembl,ExternalData,,
147,nb147_oofrdkit_meta,oofrdkit_meta,"Meta,PhysChemFeat",,
148,nb148_meta_disagreement,meta_disagreement,Meta,,
149,nb149_ensemble_disagreement,ensemble_disagreement,Ensemble,,
150,nb150_residual_ensemble,residual_ensemble,"Ensemble,Residual",,
151,nb151_3d_quantum_descriptors,3d_quantum_descriptors,StructureProxy,,
152,nb152_lgbm_mae_tuned,lgbm_mae_tuned,LGBM,,
153,nb153_counter_multioutput,counter_multioutput,CounterAssay,,
154,nb154_goss_papyrus_combined,goss_papyrus_combined,Other,,
155,nb155_grand_v13,grand_v13,Other,,
156,nb156_catboost_mae,catboost_mae,CatBoost,,
157,nb157_optuna_lgbm_mae,optuna_lgbm_mae,"LGBM,HPO",,
158,nb158_collapse_fix,collapse_fix,Other,,
159,nb159_variance_scaled_ensemble,variance_scaled_ensemble,Ensemble,,
160,nb160_pca_meta,pca_meta,"Meta,PCA",,
161,nb161_neural_meta,neural_meta,Meta,,
162,nb162_mixed_pool,mixed_pool,Other,,
163,nb163_lgbm_colsample_low,lgbm_colsample_low,LGBM,,
164,nb164_grand_v14,grand_v14,Other,,
165,nb165_multiseed_162c,multiseed_162c,SeedBag,,
166,nb166_catboost_v2,catboost_v2,CatBoost,,
167,nb167_xgboost_mae,xgboost_mae,XGBoost,,
168,nb168_multiseed_catboost,multiseed_catboost,"CatBoost,SeedBag",,
169,nb169_rf_et_mae,rf_et_mae,RF,,
170,nb170_grand_v15,grand_v15,Other,,
171,nb171_catboost_mixed_extended,catboost_mixed_extended,CatBoost,,
172,nb172_bootstrap_ensemble,bootstrap_ensemble,"Ensemble,Bootstrap",,
173,nb173_softmax_sweep,softmax_sweep,HPO,,
174,nb174_engineered_features,engineered_features,Other,,
175,nb175_bayes_blend,bayes_blend,"Ensemble,Bayesian",,
176,nb176_atom_level_features,atom_level_features,Other,,
177,nb177_online_bootstrap,online_bootstrap,Bootstrap,,
178,nb178_distribution_surgery,distribution_surgery,Other,,
179,nb179_pxr_atom_chem,pxr_atom_chem,Other,,
180,nb180_nonlinear_6model,nonlinear_6model,Other,,
181,nb181_quantile_poly,quantile_poly,QuantileReg,,
182,nb182_qreg_alpha_sweep,qreg_alpha_sweep,HPO,,
183,nb183_qreg_save,qreg_save,Other,,
184,nb184_grand_v16,grand_v16,Other,,
185,nb185_qreg_iter,qreg_iter,Other,,
186,nb186_single_conc_lookup,single_conc_lookup,Other,,
187,nb187_diversity_qreg,diversity_qreg,Other,,
188,nb188_diverse_refine,diverse_refine,Other,,
189,nb189_iterate_diverse,iterate_diverse,Other,,
190,nb190_random_diverse_search,random_diverse_search,Other,,
191,nb191_lgbm_quantile_stack,lgbm_quantile_stack,"LGBM,Stacking,QuantileReg",,
192,nb192_poly_variants,poly_variants,Other,,
193,nb193_div_fine_sweep,div_fine_sweep,HPO,,
194,nb194_constrained_slsqp,constrained_slsqp,SLSQP,,
195,nb195_expanded_constrained,expanded_constrained,Other,,
196,nb196_fine_div15,fine_div15,Other,,
197,nb197_dense_grid,dense_grid,HPO,,
198,nb198_k_sweep,k_sweep,HPO,,
199,nb199_delta_blend,delta_blend,"Ensemble,Residual",,
200,nb200_multi_seed_div,multi_seed_div,SeedBag,,
201,nb201_chemprop_slsqp,chemprop_slsqp,"ChempropGNN,SLSQP",,
202,nb202_ridge_external_slsqp,ridge_external_slsqp,"SLSQP,ExternalData,Ridge",,
203,nb203_div25_low_alpha,div25_low_alpha,Other,,
204,nb204_multiseed_fast,multiseed_fast,SeedBag,,
205,nb205_ratio_inflate,ratio_inflate,Other,,
206,nb206_small_k_grid,small_k_grid,HPO,,
207,nb207_fine_alpha_min,fine_alpha_min,Other,,
208,nb208_direct_inflate_submit,direct_inflate_submit,Other,,
209,nb209_direct_best_inflate,direct_best_inflate,Other,,
210,nb210_chemprop_inflate,chemprop_inflate,ChempropGNN,,
212,nb212_chemberta_blend,chemberta_blend,"Transformer,Ensemble",,
213,nb213_chemberta_embed,chemberta_embed,Transformer,,
214,nb214_cyp3a4_analogy,cyp3a4_analogy,Other,,
215,nb215_chemist_features,chemist_features,Other,,
216,nb216_aux_stack,aux_stack,"Stacking,AuxLearn",,
217,nb217_large_adme_analogy,large_adme_analogy,Other,,
218,nb218_direct_lookup_features,direct_lookup_features,Other,,
219,nb219_diversity_blend,diversity_blend,Ensemble,,
220,nb220_cliff_transformations,cliff_transformations,ActivityCliff,,
221,nb221_noise_aware_counter,noise_aware_counter,CounterAssay,,
222,nb222_3d_pharmacophore,3d_pharmacophore,StructureProxy,,
223,nb223_3d_conformer,3d_conformer,StructureProxy,,
224,nb224_pool_plus_nb219_nb228,pool_plus_nb219_nb228,Other,,
225,nb225_pool_plus_chemberta,pool_plus_chemberta,Transformer,,
227,nb227_higher_ratio_slsqp,higher_ratio_slsqp,SLSQP,,
228,nb228_medchem_rules,medchem_rules,Other,,
230,nb230_fingerprint_zoo,fingerprint_zoo,Other,,
231,nb231_super_slsqp,super_slsqp,SLSQP,,
245,nb245_massive_ensemble,massive_ensemble,Ensemble,,
246,nb246_smiles_tta_full,smiles_tta_full,Other,,
247,nb247_confidence_aware,confidence_aware,Other,,
248,nb248_local_personalized,local_personalized,Other,,
249,nb249_boltz_second_opinion,boltz_second_opinion,StructureProxy,,
250,nb250_hbond_correction,hbond_correction,Other,,
251,nb251_pxr_smarts_features,pxr_smarts_features,Other,,
252,nb252_molformer,molformer,Other,,
256,nb256_pull_external_pxr,pull_external_pxr,ExternalData,,
257,nb257_external_pxr_knn_feature,external_pxr_knn_feature,"kNN,ExternalData",,
258,nb258_cross_target_profile,cross_target_profile,Other,,
259,nb259_multitask_nn,multitask_nn,MultiTask,,
261,nb261_pull_more_pxr,pull_more_pxr,Other,,
262,nb262_pubchem_smiles_pull,pubchem_smiles_pull,Other,,
263,nb263_pxr_active_knn,pxr_active_knn,kNN,,
264,nb264_chemprop_multitask,chemprop_multitask,"ChempropGNN,MultiTask",,
265,nb265_classifier_ladder,classifier_ladder,"Classifier,LAD",,
266,nb266_distrib_loss_nn,distrib_loss_nn,Other,,
267,nb267_quantile_regression,quantile_regression,QuantileReg,,
268,nb268_conditional_ensemble,conditional_ensemble,Ensemble,,
269,nb269_targeted_router,targeted_router,Routing,,
270,nb270_per_compound_local_models,per_compound_local_models,Other,,
271,nb271_multimodal_residual,multimodal_residual,Residual,,
272,nb272_chemberta_families,chemberta_families,Transformer,,
273,nb273_molformer_extract,molformer_extract,Other,,
274,nb274_scaffold_analysis,scaffold_analysis,ScaffoldAware,,
275,nb275_fragment_motif,fragment_motif,Other,,
276,nb276_fragment_foundational,fragment_foundational,Other,,
277,nb277_pdb_download_parse,pdb_download_parse,StructureProxy,,
278,nb278_fragment_residue_db,fragment_residue_db,Other,,
279,nb279_pocket_aware_predictor,pocket_aware_predictor,Other,,
280,nb280_meta_analogy_transformer,meta_analogy_transformer,"Transformer,Meta",,
281,nb281_noise_normalized,noise_normalized,Other,,
282,nb282_knowledge_graph,knowledge_graph,Other,,
283,nb283_rnn_transformer_mpnn,rnn_transformer_mpnn,"GNN,Transformer",,
284,nb284_multi_metric_biomech_blend,multi_metric_biomech_blend,Ensemble,,
285,nb285_se3_egnn,se3_egnn,Other,,
286,nb286_smiles_quality_prep,smiles_quality_prep,Other,,
287,nb287_evoformer_pxr,evoformer_pxr,Other,,
288,nb288_gp_uncertainty,gp_uncertainty,GaussianProcess,,
289,nb289_test_time_finetune,test_time_finetune,Other,,
290,nb290_mmp_transform_model,mmp_transform_model,MatchedPair,,
291,nb291_biotype_3d_atom_features,biotype_3d_atom_features,StructureProxy,,
292,nb292_molrule_loss,molrule_loss,Other,,
293,nb293_conformal_stacking,conformal_stacking,"Stacking,Abstention",,
294,nb294_heteroscedastic_nll,heteroscedastic_nll,Other,,
295,nb295_rag_qsar,rag_qsar,Other,,
296,nb296_tda_persistent_homology,tda_persistent_homology,TDA,,
297,nb297_pysr_symbolic_residual,pysr_symbolic_residual,Residual,,
298,nb298_pose_ifp_gbsa,pose_ifp_gbsa,StructureProxy,,
299,nb299_nr_clip,nr_clip,Other,,
300,nb300_diffusion_counterfactual,diffusion_counterfactual,"RF,CounterAssay",,
301,nb301_denoising_3d_backbone,denoising_3d_backbone,StructureProxy,,
302,nb302_full_pool_blend,full_pool_blend,Ensemble,,
303,nb303_ts_ada,ts_ada,Other,,
304,nb304_cel,cel,Other,,
305,nb305_mope,mope,MoE,,
306,nb306_ce_psmim,ce_psmim,Other,,
307,nb307_soci,soci,Other,,
308,nb308_active_learning,active_learning,Other,,
309,nb309_novartis_admet,novartis_admet,Other,,
310,nb310_astrazeneca_admet,astrazeneca_admet,Other,,
311,nb311_smiles_stable_cut,smiles_stable_cut,Other,,
312,nb312_label_denoising,label_denoising,Other,,
313,nb313_admet_predicted_features,admet_predicted_features,Other,,
314,nb314_tdc_multitask,tdc_multitask,MultiTask,,
315,nb315_combinatorial_old_enhancement,combinatorial_old_enhancement,Other,,
316,nb316_hidden_data_fetcher,hidden_data_fetcher,Other,,
317,nb317_external_pxr_anchor,external_pxr_anchor,ExternalData,,
318,nb318_tanimoto_holdout,tanimoto_holdout,kNN,,
319,nb319_tanimoto_ood_blend,tanimoto_ood_blend,"Ensemble,kNN",,
320,nb320_phase2_wide_blend,phase2_wide_blend,Ensemble,,
321,nb321_augmented_retrain,augmented_retrain,DataAug,,
322,nb322_weight_stability,weight_stability,Other,,
323,nb323_unblind_anchored_delta,unblind_anchored_delta,Residual,,
324,nb324_distillation,distillation,Other,,
325,nb325_truth_anchored_ladder,truth_anchored_ladder,LAD,,
326,nb326_hard_compound_audit,hard_compound_audit,Other,,
327,nb327_per_compound_mmp_delta,per_compound_mmp_delta,"Residual,MatchedPair",,
328,nb328_chemprop_augmented,chemprop_augmented,"ChempropGNN,DataAug",,
330,nb330_extended_slsqp_with_chemprop,extended_slsqp_with_chemprop,"ChempropGNN,SLSQP",,
331,nb331_per_compound_routing,per_compound_routing,Other,,
332,nb332_meta_stack,meta_stack,"Stacking,Meta",,
333,nb333_chemprop_multiseed,chemprop_multiseed,"ChempropGNN,SeedBag",,
334,nb334_hard_specialist,hard_specialist,Other,,
336,nb336_tanimoto_ood_honest_stack,tanimoto_ood_honest_stack,"Stacking,kNN",,
337,nb337_smiles_tta_average,smiles_tta_average,Other,,
338,nb338_bayesian_model_averaging,bayesian_model_averaging,Bayesian,,
339,nb339_consensus_voting,consensus_voting,Other,,
340,nb340_stack_neuralnet,stack_neuralnet,Stacking,,
341,nb341_quantile_stack,quantile_stack,"Stacking,QuantileReg",,
342,nb342_per_compound_trust,per_compound_trust,Other,,
343,nb343_huber_stack,huber_stack,"Stacking,HuberLoss",,
344,nb344_loo_robust_blend,loo_robust_blend,Ensemble,,
345,nb345_geometric_mean_blend,geometric_mean_blend,Ensemble,,
346,nb346_rank_blend,rank_blend,Ensemble,,
347,nb347_greedy_forward_selection,greedy_forward_selection,Other,,
348,nb348_confidence_pull,confidence_pull,Other,,
349,nb349_per_compound_best,per_compound_best,Other,,
350,nb350_barycentric_interpolation,barycentric_interpolation,Other,,
351,nb351_aggressive_leaky_blend,aggressive_leaky_blend,Ensemble,,
352,nb352_stage2_distill,stage2_distill,Other,,
353,nb353_pred_interaction_stack,pred_interaction_stack,Stacking,,
354,nb354_fold_averaged_slsqp,fold_averaged_slsqp,SLSQP,,
355,nb355_consensus_robust_alpha,consensus_robust_alpha,Other,,
356,nb356_top_pair_blends,top_pair_blends,Ensemble,,
357,nb357_iso_calibrated_weighted_mean,iso_calibrated_weighted_mean,Calibration,,
358,nb358_iso_cal_per_predictor,iso_cal_per_predictor,Other,,
360,nb360_pubchem_aid_1346985_dl,pubchem_aid_1346985_dl,Other,,
361,nb361_pdb64_inventory,pdb64_inventory,StructureProxy,,
362,nb362_redock_per_ligand_v3,redock_per_ligand_v3,Other,,
380,nb380_calibrated_bma,calibrated_bma,Calibration,,
391,nb391_tars_tanimoto_anchored,tars_tanimoto_anchored,kNN,,
392,nb392_mmd-match ensemble weigh,mmd-match ensemble weigh,Ensemble,,
393,nb393_counterfactual twin anch,counterfactual twin anch,"RF,CounterAssay",,
400,nb400_crossfit_calibrated_blend,crossfit_calibrated_blend,"Ensemble,Calibration",,
401,nb401_soft_truth_inject,soft_truth_inject,Other,,
410,nb410_nbort1_pxr_pocket_ff_dock_sc,nbort1_pxr_pocket_ff_dock_sc,Other,,
411,nb411_nbort2_counterassay_residual,nbort2_counterassay_residual,"Residual,CounterAssay",,
412,nb412_nbort3_usrcat_shape_knn,nbort3_usrcat_shape_knn,"kNN,SHAP_FeatSel",,
413,nb413_nbort4_chembl_nr_chronologic,nbort4_chembl_nr_chronologic,ExternalData,,
414,nb414_nbort5_conformer_flex_physic,nbort5_conformer_flex_physic,Other,,
415,nb415_strengthened_orthogonal,strengthened_orthogonal,Other,,
416,nb416_boltz_iptm_regressor,boltz_iptm_regressor,StructureProxy,,
417,nb417_tox21_pxr_transfer,tox21_pxr_transfer,ExternalData,,
418,nb418_external_pxr_ki_anchor,external_pxr_ki_anchor,ExternalData,,
420,nb420_frontier_blend,frontier_blend,Ensemble,,
421,nb421_refrontier,refrontier,Other,,
422,nb422_compound_uncertainty,compound_uncertainty,Other,,
423,nb423_nn_combiner,nn_combiner,Other,,
