| Cycle | NB Range | Methods | Best RAE | Descriptor |
|---|---|---|---|---|
| 1 | nb910-919 | n=5 | — | gp_tanimoto; al_chembl_proxy; moe_sparse_routing |
| 2 | nb920-929 | n=4 | — | schnet_3d; scaffold_maml; triple_head_multitask |
| 3 | nb930-939 | n=2 | — | rf_tanimoto; catboost_ordered |
| 4 | nb940-949 | n=0 | — | (no method) |
| 5 | nb950-959 | n=4 | — | chemprop_aux_v2; tanimoto_ood; ensemble_v2 |
| 6 | nb960-969 | n=2 | — | pseudo_label_self_train; extra_trees |
| 7 | nb970-979 | n=3 | 0.5565 | multi_conformer; rdkit_only; long_train_optim |
| 8 | nb980-989 | n=10 | 0.3801 | aggressive_chembl; tox21_full; best_blend |
| 9 | nb990-999 | n=0 | — | (no method) |
| 10 | nb1000-1009 | n=4 | — | extended_stretch_nb982; crossfit_nb988; stretch_nb986 |
| 11 | nb1010-1019 | n=5 | — | cf4way_with_ph; cf_chemprop_stretch_only; isotonic_on_nb1001 |
| 12 | nb1020-1029 | n=5 | 0.5520 | bigger_bag; stretch_only_bag; anchor_diversified_bag |
| 13 | nb1030-1039 | n=5 | 0.5648 | mordred_lgbm; multi_objective_ensem; sp_only_training |
| 14 | nb1040-1049 | n=3 | 0.6851 | avalon_fp_lgbm; better_sp_mapping; pubchem_pxr_join |
| 15 | nb1050-1059 | n=4 | — | triple_ortho_bag; quad_ortho_bag; meta_stack_lgbm |
| 16 | nb1060-1069 | n=5 | — | bag_nb1053; finer_bins; lowess_stretch |
| 17 | nb1070-1079 | n=5 | — | median_bag; 15seed_bag; tikhonov_bins |
| 18 | nb1080-1089 | n=5 | — | 3way_anchor_perq; chemprop_seed_bag; beta_calibration |
| 19 | nb1090-1099 | n=5 | — | nb120_anchor; chain_nb1070; grand_slsqp6 |
| 20 | nb1100-1109 | n=4 | — | tabpfn_pca50; linear_ridge; xgb_extreme |
| 21 | nb1110-1119 | n=4 | — | weak_ortho_aggregation; adaptive_route; meta_mlp |
| 22 | nb1120-1129 | n=4 | — | lb_delta_model; boltzmann_ensemble; residual_gb |
| 23 | nb1130-1139 | n=5 | 0.5696 | bag_nb1123; deploy_residual; deeper_residual |
| 24 | nb1140-1149 | n=5 | 0.5697 | deploy_nb1130; chemprop_residual_bag; combined_residual_bag |
| 25 | nb1150-1159 | n=5 | 0.5634 | deploy_nb1143; bag_nb1143; residual_on_nb1143 |
| 26 | nb1160-1169 | n=5 | 0.5817 | bag_nb1153; combine_residuals; deploy_nb1153 |
| 27 | nb1170-1179 | n=5 | 0.5636 | deploy_nb1161_mean; concat_feature_residual; atompair_residual |
| 28 | nb1180-1189 | n=5 | 0.5561 | blend_mordred_atompair; triple_blend; concat_mord_ap_residual |
| 29 | nb1190-1199 | n=5 | 0.5514 | bag_nb1181; deploy_nb1181; 4way_blend |
| 30 | nb1200-1209 | n=5 | 0.5529 | bag_nb1183; deploy_nb1183_nb1192_nb1190; 5way_blend |
| 31 | nb1210-1219 | n=5 | 0.5504 | deploy_nb1200; combine_bob; extratrees_maccs |
| 32 | nb1220-1229 | n=5 | — | deploy_nb1211_mean; triple_bob; perq_chain_nb1211 |
| 33 | nb1230-1239 | n=5 | 0.5469 | mordred_bob; alt_anchor_chemprop; multi_anchor_blend |
| 34 | nb1240-1249 | n=5 | 0.5471 | pred_counter_residual; pred_singleconc_residual; chembl_knn_feat |
| 35 | nb1250-1259 | n=5 | 0.5607 | deploy_nb1242; combine_chembl_bob; chembl_bob |
| 36 | nb1260-1269 | n=6 | 0.5624 | deploy_nb1251; deploy_nb1252plus1211; triple_chembl_bob |
| 37 | nb1270-1279 | n=5 | 0.5573 | chembl_pubchem_union; multi_source_blend; bindingdb_pxr |
| 38 | nb1280-1289 | n=5 | 0.5471 | ridge_residual; meta_stack; anchor_refresh |
| 39 | nb1290-1299 | n=5 | 0.5391 | direct_1190_1242; 3way_grid; nr_family_chembl |
| 40 | nb1300-1309 | n=5 | 0.5390 | chemberta_residual; per_row_routing; uncertainty_blend |
| 41 | nb1310-1319 | n=5 | 0.5608 | svr_tanimoto; gp_tanimoto; chemprop_embed_residual |
| 42 | nb1320-1329 | n=4 | 0.5471 | mega_deploy_ensemble; quantile_residual; isotonic_nb1290 |
| 43 | nb1330-1339 | n=4 | 0.5597 | rank_stretch_nb1290; bag_nb1290; mordred_chembl_knn |
| 44 | nb1340-1349 | n=5 | 0.5395 | pls_residual; catboost_residual; k_sequence_chembl |
| 45 | nb1350-1359 | n=5 | 0.5315 | catboost_blend; bag_catboost; shap_pruned_maccs |
| 46 | nb1360-1369 | n=5 | 0.5282 | deploy_nb1352; bag_nb1352; shap_K_grid |
| 47 | nb1370-1379 | n=5 | 0.5128 | deploy_nb1352_outer_bagged; catboost_pruned; dual_pruned |
| 48 | nb1380-1389 | n=5 | 0.5187 | deploy_nb1373; bag_nb1373; shap_pruned_morgan |
| 49 | nb1390-1399 | n=5 | 0.5076 | deploy_nb1381; blend_1373_1352; shap_pruned_avalon |
| 50 | nb1400-1409 | n=4 | 0.5188 | quad_pruned_blend; atompair_K_grid_ext; bag_nb1391 |
| 51 | nb1410-1419 | n=5 | 0.5042 | deploy_nb1403; 3way_pruned_blend; mordred_K_grid |
| 52 | nb1420-1429 | n=5 | — | deploy_nb1411; upgraded_3way; bag_nb1411 |
| 53 | nb1430-1439 | n=5 | 0.4990 | deploy_nb1422; bob_component_3way; atompair_K_bottom |
| 54 | nb1440-1449 | n=5 | 0.5097 | mordred_K15_bob; catboost_3way_pruned; robust_ensemble |
| 55 | nb1450-1459 | n=5 | — | deploy_nb1441_blend; crossfit_blend_nb1441_nb1422; bag_nb1441 |
| 56 | nb1460-1469 | n=5 | 0.5155 | chemprop_anchor_atompair_pruned; atompair_union_pool; shap_pruned_chemprop_embed |
| 57 | nb1470-1479 | n=5 | 0.4995 | deploy_nb1460; blend_embed_atompair; preunblind_3way |
| 58 | nb1480-1489 | n=5 | 0.5456 | deploy_nb1472; deploy_nb1471; bag_nb1472 |
| 59 | nb1490-1499 | n=5 | — | deploy_nb1482; deploy_nb1484; preunblind_5way |
| 60 | nb1500-1509 | n=5 | 0.5289 | bag_nb1484; catboost_preunblind_4way; rank_stretch_nb1484 |
| 61 | nb1510-1519 | n=5 | 0.5201 | deploy_nb1500; blend_catboost_nb1484; bag_nb1501 |
| 62 | nb1520-1529 | n=5 | 0.5345 | blend_bob_bob; bag_nb1511; alt_anchor_residual |
| 63 | nb1530-1539 | n=5 | 0.5409 | deploy_nb1521; xgboost_preunblind_4way; sample_weighted_nb1484 |
| 64 | nb1540-1549 | n=4 | 0.5226 | catboost_depth3_preunblind; chemprop_K_grid_preunblind; catboost_best_K |
| 65 | nb1550-1559 | n=5 | 0.5174 | nb1484_upgrade_embed_K20; bag_nb1550; deploy_nb1550 |
| 66 | nb1560-1569 | n=5 | — | bag_nb1553; bag_nb1554; deploy_nb1553 |
| 67 | nb1570-1579 | n=5 | 0.5247 | deploy_nb1561; blend_catboost_lgbm_bob; avalon_K_grid_pre |
| 68 | nb1580-1589 | n=5 | 0.5283 | 5way_avalon_K20; catboost_upgraded_5way; bag_nb1581 |
| 69 | nb1590-1599 | n=2 | — | bag_nb1571; blend_nb1561_nb1572 |
| 70 | nb1600-1609 | n=5 | 0.5174 | deploy_nb1590; catboost_variants_ensemble; catboost_d5_5way_K |
| 71 | nb1610-1619 | n=4 | — | deploy_nb1590_compact; chemberta_K_grid_pre; preunblind_6way_chemberta |
| 72 | nb1620-1629 | n=4 | 0.5308 | catboost_6way_chemberta; chemberta_K_grid_ext; blend_nb1561_nb1612 |
| 73 | nb1630-1639 | n=4 | 0.5293 | deploy_nb1622; three_arch_blend; bag_nb1622 |
| 74 | nb1640-1649 | n=2 | 0.5211 | histgbm_5way_K; audit_top5 |
| 75 | nb1650-1659 | n=0 | — | (no method) |
| 76 | nb1660-1669 | n=2 | — | deploy_nb1632; triple_blend_final |
| 77 | nb1670-1679 | n=1 | — | bag_nb1632_10seed |
| 78 | nb1680-1689 | n=3 | 0.5380 | deploy_nb1673; blend_PREPOST; dual_anchor_Mord |
| 79 | nb1690-1699 | n=2 | 0.5271 | direct_chembl_knn; catboost_sample_weighted |
| 80 | nb1700-1709 | n=2 | 0.5211 | histgbm_absloss; catboost_alt_params |
| 81 | nb1710-1719 | n=3 | 0.5191 | lgbm_quantile; catboost_mid_depth; deploy_nb1411_alt |
| 82 | nb1720-1729 | n=3 | 0.5359 | catboost_depth2; catboost_all_variants_ensemble; extra_trees |
| 83 | nb1730-1739 | n=2 | 0.5107 | catboost_feature_weights; final_4way_blend |
| 84 | nb1740-1749 | n=2 | 0.5107 | xgboost_huber; 3way_final_constrained |
| 85 | nb1750-1759 | n=2 | 0.5107 | 4bob_ensemble; catboost_ordered |
| 86 | nb1760-1769 | n=2 | 0.5034 | catboost_cat_features; nb1632_nb1411_blend |
| 87 | nb1770-1779 | n=2 | 0.5044 | lgbm_small_leaves; lgbm_dart |
| 88 | nb1780-1789 | n=3 | — | bag_nb1771; blend_nb1632_nb1771; deploy_nb1771 |
| 89 | nb1790-1799 | n=3 | 0.5144 | deploy_nb1780; blend_bob_bob; lgbm_small_leaves_6way |
| 90 | nb1800-1809 | n=3 | 0.5147 | lgbm_leaves8; lgbm_leaves31; lgbm_l1 |
| 91 | nb1810-1819 | n=3 | 0.5090 | lgbm_goss; lgbm_feat_frac; triple_top_blend |
| 92 | nb1820-1829 | n=3 | — | bag_nb1811; bag_nb1812; three_lgbm_blend |
| 93 | nb1830-1839 | n=3 | 0.5087 | deploy_nb1821; blend_nb1780_nb1821; lgbm_path_smooth |
| 94 | nb1840-1849 | n=1 | 0.5147 | lgbm_smaller_subsample |
| 95 | nb1850-1859 | n=2 | 0.5127 | four_lgbm_blend; lgbm_mse |
| 96 | nb1860-1869 | n=1 | — | bag_nb1852 |
| 97 | nb1870-1879 | n=2 | 0.5004 | deploy_nb1861; blend_nb1861_nb1821 |
| 98 | nb1880-1889 | n=2 | — | lgbm_huber_mse_bag; lgbm_poisson |
| 99 | nb1890-1899 | n=3 | — | bag_nb1881_mse; lgbm_mse_alt_seeds; lgbm_mse_heavy_reg |
| 100 | nb1900-1909 | n=2 | — | lgbm_mse_3way; extra_trees_mse |
| 101 | nb1910-1919 | n=2 | 0.5140 | lgbm_mse_6way_morgan; catboost_rmse |
| 102 | nb1920-1929 | n=1 | — | blend_nb1861_nb1780_final |
| 103 | nb1930-1939 | n=3 | 0.5081 | lgbm_l2_sklearn; lgbm_mse_lr02; bag_nb1771_10outer |
| 104 | nb1940-1949 | n=3 | — | bag_nb1861_10outer; blend_huber_mse_validated; lgbm_mse_leaves12 |
| 105 | nb1950-1959 | n=1 | — | deploy_nb1941 |
| 106 | nb1960-1969 | n=1 | 0.5329 | lgbm_mse_no_embed |
| 107 | nb1970-1979 | n=3 | — | bag_nb1861_20outer; blend_top2_bob; lgbm_extra_trees |
| 108 | nb1980-1989 | n=2 | — | lgbm_categorical; lgbm_direct_train |
| 109 | nb1990-1999 | n=2 | 0.5324 | lgbm_smote; chembl_knn1 |
| 110 | nb2000-2009 | n=1 | 0.5094 | lgbm_resid_weighted |
| 111 | nb2010-2019 | n=2 | 0.5201 | bag_nb2001; lgbm_monotone |
| 112 | nb2020-2029 | n=2 | — | catboost_cat_rmse; lgbm_lambda_grid |
| 113 | nb2030-2039 | n=3 | — | bag_lambda3; xgboost_mse; lgbm_trajectory |
| 114 | nb2040-2049 | n=2 | — | deploy_nb2031; wide_traj_25bag |
| 115 | nb2050-2059 | n=2 | — | lgbm_n500; trajectory |
| 116 | nb2060-2069 | n=3 | 0.4944 | lgbm_tanh_residual; lgbm_top50_shap; trajectory |
| 117 | nb2070-2079 | n=3 | — | bag_nb2063; deploy_nb2063; trajectory |
| 118 | nb2080-2089 | n=3 | 0.4775 | shap_K_grid; pooled_25bag_shap50; trajectory_shap_top50 |
| 119 | nb2090-2099 | n=3 | — | shap_K_grid_low; pooled_25bag_shap30; deploy_shap30 |
| 120 | nb2100-2109 | n=2 | — | deploy_nb2092_median; shap_K_fine |
| 121 | nb2110-2119 | n=2 | — | pooled_25bag_shap28; deploy_shap28 |
| 122 | nb2120-2129 | n=3 | — | lambda_grid_K28; leaves_grid_K28; trajectory |
| 123 | nb2130-2139 | n=4 | — | pooled_25bag_K28L14; pooled_25bag_K28L12; lr_grid_K28 |
| 124 | nb2140-2149 | n=3 | 0.4655 | catboost_K28; lgbm_huber_K28; trajectory |
| 125 | nb2150-2159 | n=6 | 0.4620 | minchild_K28; featfrac_K28; trajectory |
| 126 | nb2160-2169 | n=7 | — | dart_K28; trajectory; pooled_aggregate |
| 127 | nb2170-2179 | n=8 | 0.3810 | anchor_nb730; family_ablation; residual_cascade |
| 128 | nb2180-2189 | n=6 | 0.4556 | trajectory; nb730_honest; reeval_honest_anchor |
| 129 | nb2190-2199 | n=3 | 0.4807 | conformal_shrink; mlp_head; trajectory |
| 130 | nb2200-2209 | n=3 | 0.4698 | deploy_audit; clean_rebuild; transfer_sim |
