model,RAE,MAE,R2,Pearson,Spearman,Kendall,n_valid
aux_features,0.21789452586055724,0.19824732409273232,0.9347628968541453,0.9668969234309329,0.9472380044231252,0.8200677950948071,4139
grand_v6,0.21885591526804363,0.19912202655114675,0.934679793461464,0.966797275037799,0.9473410644606746,0.8198107207342106,4139
grand_v7,0.5188634364098464,0.4720783481437232,0.6565270257702458,0.8102945328424284,0.76657125988233,0.5732799176712715,4139
grand_v6c,0.5280536020125111,0.4804398511759898,0.6481303593982548,0.805095974283718,0.7620036011324905,0.5679150400913954,4139
grand_v6b,0.5280536020125111,0.4804398511759898,0.6481303593982548,0.805095974283718,0.7620036011324905,0.5679150400913954,4139
grand25,0.5355539512213334,0.48726390586271306,0.6399576861364193,0.799977042351198,0.7547137068171484,0.560826898804044,4139
grand24,0.5358013678957058,0.4874890133702859,0.6399408972159735,0.7999666120963048,0.7545506426248689,0.5606435081773763,4139
grand23,0.5360035120072755,0.4876729304698162,0.6398397570837453,0.7999024113194153,0.7543558849466442,0.5603480714918134,4139
grand18,0.5362574483755984,0.4879039698009376,0.6392146857149357,0.7995109927765521,0.7537872583192586,0.5599845650710973,4139
lgbm_tuned,0.5394265121007491,0.4907872841059171,0.6341728156142847,0.7964726745457893,0.7477407556539293,0.5545780503336358,4139
grand15,0.5472959265999544,0.4979471260545964,0.6239935519463377,0.7899633399029173,0.7480297063896456,0.5543621452973931,4139
meta,0.5516865226108152,0.5019418290279166,0.6214310708231993,0.7884132640605996,0.744758686102899,0.5511988909039915,4139
focal_loss,0.5529323683278266,0.5030753388242479,0.6123606280939896,0.7826178154506719,0.738689548881128,0.5458721814591733,4139
smote_best,0.5578230332975764,0.5075250203362445,0.6085792156388812,0.7801927683977765,0.7308170055918484,0.5375865812896149,4139
catboost,0.5593975721438864,0.5089575855268026,0.6016189471088043,0.7784242706997002,0.7314223655332612,0.5375435406323357,4139
curriculum,0.5599106371851661,0.5094243883118543,0.6021374711393764,0.7759863508793708,0.731856365904256,0.5394389669689277,4139
lgbm_bindingdb,0.5600142733597709,0.5095186797779362,0.6022016247886381,0.7760215684809244,0.7323633740533316,0.5399733586281772,4139
lgbm_cliff_oversample,0.5600142733597709,0.5095186797779362,0.6022016247886381,0.7760215684809244,0.7323633740533316,0.5399733586281772,4139
lgbm_base,0.5600142756873001,0.5095186818955958,0.6022016235386238,0.7760215676674384,0.7323629796890719,0.5399727646858354,4139
lgbm_pubchem,0.5600142756873001,0.5095186818955958,0.6022016235386238,0.7760215676674384,0.7323629796890719,0.5399727646858354,4139
lgbm_all_external,0.5600142756873001,0.5095186818955958,0.6022016235386238,0.7760215676674384,0.7323629796890719,0.5399727646858354,4139
hard_negatives,0.5606421924982865,0.5100899804495143,0.6053408409235976,0.7780393908065333,0.732040657217098,0.5393868035636383,4139
deep_ensemble,0.5626907992173804,0.5119538675690956,0.6017405330425178,0.776311088809005,0.721244877805735,0.5307516857275535,4139
pairwise_ranking,0.5629227596175773,0.5121649124700764,0.5995262112650486,0.7743548575394398,0.7313096806671292,0.5385433002476133,4139
lgbm_aug,0.5633354124035389,0.5125403570126743,0.6034017552167681,0.7772481116833007,0.7287303203648975,0.5365145414401022,4139
xgboost_dart,0.563512588011176,0.5127015569784368,0.601675916433318,0.7760752010723184,0.7296852226727527,0.5360518313109783,4139
lgbm_full_metrics_baseline,0.564317875102249,0.5134342326172631,0.5990770168857584,0.7740073186816541,0.7267691492727905,0.5345360747049555,4139
lgbm_pubchem_pxr_fixed,0.564317875102249,0.5134342326172631,0.5990770168857584,0.7740073186816541,0.7267691492727905,0.5345360747049555,4139
multitask_lgbm_heads,0.5645644695739293,0.5136585920588489,0.5978741025589622,0.7732238285695048,0.7265638446718139,0.5344158415645127,4139
chemprop_aux,0.5665442149763529,0.5154598269768227,0.596777646758688,0.7731508311581553,0.724941262124529,0.5335201748431982,4139
chemprop_cliff,0.5670014980754692,0.5158758775884413,0.5941301883503101,0.7727089986994045,0.7227260518464527,0.5313049844930161,4139
cliff_weighted,0.5676793532712285,0.5164926116626495,0.5967938357722651,0.7726815891960571,0.7242456340126432,0.5317702446415391,4139
lgbm_chembl_pxr_direct,0.569195453638063,0.5178720076781937,0.5877376652856672,0.768672294145528,0.7195552574502421,0.5296813692638066,4139
morgan_protbert_nr,0.5749102790687574,0.5230715364172374,0.5782455483451998,0.7625393051972132,0.7073323597932826,0.5193368747700259,4139
morgan_esm2_nr,0.5763051199867452,0.52434060675498,0.5791995311959605,0.7629969570807787,0.7103689688709,0.5212829744899101,4139
multitask_mlp,0.5881858222756958,0.5351500450730136,0.573438051341804,0.7591041898316382,0.7058393887937284,0.515976809670752,4139
wide_deep,0.5911432851623126,0.5378408382494817,0.5710839560147503,0.7586410810661628,0.7089721750172233,0.5190893909906708,4139
siamese_cliff,0.5943416523750145,0.5407508137932907,0.5644933336947348,0.7531988532530128,0.7019649614469575,0.5129536711536121,4139
nr_weighted,0.5964093703245308,0.5426320889141373,0.5245528655389937,0.7342741523519617,0.6785049033862145,0.4969714053981186,4139
lgbm_cliff_aware_external,0.5972385939915416,0.5433865428060375,0.5252924391805784,0.7343904011534303,0.6773242016024179,0.4960929605132965,4139
chemberta_mtr,0.5993107108408308,0.5452718201848824,0.5584416352934799,0.7482606650218402,0.6920787142589632,0.5038194606958751,4139
singleconc,0.6003233196443993,0.5461931236681496,0.5376968336138901,0.754125264597819,0.7309122554570922,0.5359879951382798,4139
lgbm_chembl_all_nr_weighted,0.6034462936125293,0.5490345040559674,0.519987929173847,0.7309142833025671,0.6737359713594218,0.4921332198124188,4139
crossattn_grover_esm2,0.6138931138581921,0.5585393511869404,0.5269696935282935,0.7261310434873284,0.660925779074613,0.47884058443514516,4139
crossattn_chemberta_esm2,0.6147442762695392,0.5593137656416012,0.5267658921155959,0.7260687906891368,0.6591639468666912,0.476334924979013,4139
chemberta_esm2_nr,0.6186397283340794,0.5628579710082877,0.5285827673791468,0.7280149601213803,0.6646189095807504,0.48117679881239467,4139
grover_large,0.6295338803956892,0.5727698147590371,0.5229441771117345,0.7247648438187718,0.6709506342560065,0.48493171719074024,4139
grover,0.6355275286382339,0.5782230253018206,0.5158699247815348,0.7198900601659984,0.6627940342937706,0.4784496538545315,4139
lgbm_crc_singleconc_fdr,0.6559925722948575,0.596842768621866,0.4955507755627908,0.7353156685006651,0.7296208057516712,0.5315162111969459,4139
chemberta,0.67822839582131,0.6170736234159808,0.4635619542972539,0.6839567704259158,0.6351336492146384,0.4515831609643344,4139
unimol,0.7007566282595197,0.637570521076789,0.4322264706916841,0.6587969873944327,0.5830852034078391,0.4108283368532965,4139
bert_smiles,0.7150317944210497,0.6505585182801401,0.40065499894222456,0.6336014375249095,0.5651531335138169,0.3957598963065139,4139
knn,0.7340745313315337,0.6678842019841965,0.39970184029996647,0.6487098425547277,0.6008009096465406,0.42427190040132945,4139
selformer,0.7691224877266478,0.6997719400666882,0.3376518618180384,0.5833915356648118,0.5254219750371579,0.36586635214592167,4139
lgbm_crc_sp_chembl_pxr,0.7771186106718049,0.7070470653628984,0.1920903904520761,0.6319453233387403,0.6244716930786536,0.43947329777226174,4139
tabnet,0.7904176318959634,0.7191469350605388,0.22934453562766632,0.49526457253443007,0.4006586533406948,0.27723815457187556,4139
lgbm_all_external_v2,0.8009669837347172,0.7287450686744328,0.13855166079180148,0.608590949018819,0.6014769564790956,0.4231778723260692,4139
chemprop_cliff_mem_proba,4.695680185110824,4.272278194309595,-14.60826283782873,-0.22748444853121963,-0.15869164186941623,-0.10763240323282157,4139
cliff_role_proba,4.748364590538191,4.3202121309523,-14.841836255172037,-0.03064544304549476,-0.2937017793941359,-0.19648833119992565,4139
chemprop_chembl_nr_multitask,4.7493047761061025,4.321067541487525,-14.845618340526908,,,,4139
