row_idx,inchikey,name,std_smiles
0,GMCYZZSSBZOBLL-UHFFFAOYSA-N,OADMET-0006089,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2
1,YNKAIRIFDZYSFG-UHFFFAOYSA-N,OADMET-0006088,CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CCNC1
2,RKJGFVVXGTWYPG-UHFFFAOYSA-N,OADMET-0006087,O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2c2c(F)cccc2F)C1
3,QAZOAAIWQSZDGT-UHFFFAOYSA-N,OADMET-0006086,CC1CN(C(=O)c2cccc(-c3c(F)cccc3F)c2)CCN1c1nccn2cnnc12
4,LUTYNSQAQIEGNU-UHFFFAOYSA-N,OADMET-0006085,CC1(c2noc(C3=NN(Cc4ccc(F)cc4)C(=O)CC3)n2)CCC1
5,WCUYZMKSLUONRG-UHFFFAOYSA-N,OADMET-0006084,COc1ncnc(OC)c1C(=O)N1CCC(Cc2ccc(F)cc2)C1
6,SSTBQYZOJAYQSM-UHFFFAOYSA-N,OADMET-0006083,CCS(=O)(=O)N1CCC(c2ccccc2)(c2nc(Cc3cnc(C4CC4)o3)no2)CC1
7,UPZNYFFTMCJQOO-UHFFFAOYSA-N,OADMET-0006082,Fc1ccc(C2CCC(n3cc(C4CCNCC4)nn3)C2)cc1F
8,DAIUPMQUGUGABH-UHFFFAOYSA-N,OADMET-0006081,CC(C)c1ccc(CNC(=O)NCC2CC3(CC3)S(=O)(=O)N2)cc1
9,NOUCTTOMTKDTHI-UHFFFAOYSA-N,OADMET-0006080,Cc1nnc2ccc(-c3noc(C4CC(C)(C)Oc5ccccc54)n3)cn12
10,RDXGXRITHNUPKD-UHFFFAOYSA-N,OADMET-0006079,CN(CC1CCCCC1O)C(=O)NCC1CCN(CC(F)(F)F)CC1
11,MXFGWJOXOOYEER-UHFFFAOYSA-N,OADMET-0006078,CCCOc1ccc(S(=O)(=O)Nc2noc(Cc3ccccc3)n2)cc1
12,ONQVCGFEDCIUFG-UHFFFAOYSA-N,OADMET-0006077,COCC(NC(=O)c1cc(S(=O)(=O)N(C)C)c[nH]1)c1cccc(Br)c1
13,QNQSCXODGQCIFA-UHFFFAOYSA-N,OADMET-0006076,Cc1ccc(NCc2cccc3ccccc23)cc1-n1cnnn1
14,WTTZSARDULEWAA-KRWDZBQOSA-N,OADMET-0006075,O=C(Cc1cc2cc(Cl)ccc2[nH]1)N[C@H]1CCCc2cccnc21
15,ODFQLEKETFSJFO-UHFFFAOYSA-N,OADMET-0006074,Cc1ccc(C)c(S(=O)(=O)NCC(=O)N2CCC(C3CCCO3)C2)c1
16,NIMNIJTYRQIDGA-ZACQAIPSSA-N,OADMET-0006073,O=C(CNS(=O)(=O)c1ccccc1F)N1C[C@H]2C[C@H](c3ccccc3)[C@H]2C1
17,YWFZSGTWXKPCSQ-UHFFFAOYSA-N,OADMET-0006072,Cc1nocc1Cc1noc(-c2cccn(CC(C)C)c2=O)n1
18,TUZADKUNWGHODO-UHFFFAOYSA-N,OADMET-0006071,Cc1cc(F)ccc1Cc1noc(C2CCc3nccn3C2)n1
19,UYWKUGDEECDFRW-UHFFFAOYSA-N,OADMET-0006070,COC(c1noc(Cc2cc(C)on2)n1)c1ccccc1Cl
