smiles,pxr,null,pxr_pap,fxr,pparg,lxra,rxra,vdr
Brc1c(NC2=NCCN2)ccc2nccnc12,,,4.58,,,,,
Brc1ccc(-c2n[nH]c(-c3ccccc3)n2)cc1,,,,,,6.79,,
Brc1ccc(-c2nc(-c3ccccc3)n(Cc3ccccc3)n2)cc1,,,,,,5.3,,
Brc1ccc(-c2nc(-c3ccccc3)no2)cc1,,,,6.46,,,,
Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,4.51,4.43,,,,,,
Brc1ccc2nc(-c3cccs3)c(NCc3ccccc3)n2c1,,,,6.3,,,,
Brc1cccc2c1CCC2NCc1noc2c1COCC2,5.06,3.81,,,,,,
Brc1ccccc1-c1n[nH]c(-c2ccccc2)n1,,,,,,6.41,,
Brc1ccccc1C1CCCN1c1ncnc2[nH]ncc12,5.66,,,,,,,
C#CC(C)(C)N,2.01,,,,,,,
C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1,4.93,3.04,,,,,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.92,,,,,,,
C#CC(C)OC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)n1CC,,,,,,,,6.68
C#CC(C)OC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1CC,,,,,,,,6.7
C#CC(C)OC(=O)c1ccc(C(CC)(CC)c2ccc(OCCC(O)(CC)CC)c(C)c2)n1CC,,,,,,,,5.58
C#CCC(CC#C)(C(=O)O)c1ccc(COc2cccc(-c3ccc(C(F)(F)F)c4ncc(C(=O)c5ccccc5)cc34)c2)cc1,,,,,,8.7,,
C#CCC(Cc1ccccc1)Nc1ccc2nccnc2n1,4.87,5.37,,,,,,
C#CCCOC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)n1CC,,,,,,,,4.54
C#CCCOC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1CC,,,,,,,,5.99
C#CCCOC(=O)c1ccc(C(CC)(CC)c2ccc(OCCC(O)(CC)CC)c(C)c2)n1CC,,,,,,,,5.22
C#CCN(C)Cc1ccccc1,2.59,2.08,,,,,,
C#CCN(C)[C@H](C)Cc1ccccc1,2.63,2.97,,,,,,
C#CCN(Cc1ccccc1)C(=O)C(C)NC(=O)c1cccc(Cl)c1Cl,5.39,4.01,,,,,,
C#CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)n1CC,,,,,,,,5.66
C#CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1CC,,,,,,,,6.62
C#CCNS(=O)(=O)c1cccc(-c2nc(-c3ccc4[nH]ccc4c3)no2)c1,5.13,2.97,,,,,,
C#CCOC(=O)N1CCc2c(OCCc3nc(-c4ccccc4)oc3C)ccc(CCC(=O)O)c2C1,,,,,7.365,,,
C#CCOc1cc(COc2ccc(C(F)(F)F)cc2)ccc1Sc1ccc(OCC(=O)O)c(C)c1C,,,,,6.02,,,
C#CCOc1cc(COc2ccc(C(F)(F)F)cc2)ccc1Sc1ccc(OCC(=O)O)c2c1CCCC2,,,,,5.615,,,
C#CCOc1cccc(Cc2c(C)n(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc23)c1,,,,,7.359999999999999,,,
C#CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,,,,6.27,,,,
C#CCn1cc(/C=N/NC(=O)COc2cccc3cccnc23)c2ccccc21,,,4.79,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,4.6,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,,,5.0,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,3.73,1.86,,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,,,5.62,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,,5.43,,,,,
