track,submitted_utc,submission_csv,oof_rae,historical_lb_rae,current_lb_rae,current_lb_rank
activity,2026-05-13 18:10,197_dense_grid.csv,0.2976,,,
activity,2026-05-13 22:11,200_delta_nb120_direct.csv,0.2266,,,
activity,2026-05-14 02:12,199_nb197_nb123_w05.csv,0.3025,,,
activity,2026-05-14 17:01,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-14 21:13,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-15 12:30,224_match.csv,0.2891,,,
activity,2026-05-15 17:59,224_k15.csv,0.2891,,,
activity,2026-05-16 21:30,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-16 23:32,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-17 19:20,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-17 19:32,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-17 23:30,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-18 03:33,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-18 07:36,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-18 11:39,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-18 15:39,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-18 19:43,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-18 23:45,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-19 03:47,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-19 07:49,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-19 11:52,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-19 15:54,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-19 19:55,224_pool_plus_2.csv,0.2891,,,
activity,2026-05-20 17:45,239_full_slsqp_v2.csv,0.2838,0.7487,,
activity,2026-05-20 23:18,244_deep_greedy.csv,0.2627,0.7659,,
activity,2026-05-21 06:51,243_greedy_huber.csv,0.2638,0.7638,,
activity,2026-05-21 10:53,253_explore_239_meanup_0_03.csv,0.2838,0.7446,,
activity,2026-05-21 14:54,254_meanshift_006.csv,0.2838,0.743,,
activity,2026-05-25 13:26,273_molformer_combined.csv,0.5599,0.7581,,
activity,2026-05-26 04:45,FINAL_phase1_nb120_huber_2_0.csv,0.3839,,0.7655,270.0
activity,2026-05-29 19:02:05 UTC,nb325_S1_nb320_truth.csv,,,,
activity,2026-05-29 20:37:19 UTC,nb332_meta_gbr_truth.csv,,,,
activity,2026-05-30 00:37:25 UTC,nb335_top3_meta_truth.csv,,,,
activity,2026-05-30 22:25:43 UTC,nb329_smart_60_328_40_320_truth.csv,,,,
activity,2026-06-01 00:32:37 UTC,nb333_chemprop_5seed_truth.csv,,,,
activity,2026-06-01 04:35:02 UTC,nb464_final_blend.csv,,,,
structure,2026-06-01 16:43:06 UTC,structure_baseline_v4.zip,,,0.4583,29.0
