s,mu_shift,in_rae_253,te_mean,te_std
1.0,-0.3,0.7024066258981275,4.521135152385482,0.5715220147155039
1.0,-0.1,0.6249998035041326,4.7211351523854805,0.5715220147155039
1.0,0.0,0.6105185331708554,4.821135152385481,0.5715220147155039
1.0,0.1,0.6165697135498382,4.921135152385482,0.5715220147155039
1.0,0.3,0.7014108905824348,5.12113515238548,0.5715220147155039
1.2,-0.3,0.6799112725669951,4.521135152385481,0.6858264176586047
1.2,-0.1,0.5991044710664086,4.721135152385481,0.6858264176586047
1.2,0.0,0.5887918629097069,4.821135152385481,0.6858264176586047
1.2,0.1,0.6040510088420207,4.921135152385481,0.6858264176586047
1.2,0.3,0.6997023589479364,5.121135152385481,0.6858264176586047
1.4,-0.3,0.6794522663323859,4.521135152385482,0.8001308206017056
1.4,-0.1,0.6032983441923161,4.7211351523854805,0.8001308206017056
1.4,0.0,0.5990359079679206,4.821135152385481,0.8001308206017055
1.4,0.1,0.6175918085371818,4.921135152385482,0.8001308206017056
1.4,0.3,0.7138868565030916,5.121135152385481,0.8001308206017054
1.6,-0.3,0.6904398628425417,4.521135152385482,0.9144352235448063
1.6,-0.1,0.6337404925468288,4.721135152385482,0.9144352235448064
1.6,0.0,0.636997850936957,4.821135152385481,0.9144352235448063
1.6,0.1,0.6589331892633196,4.921135152385482,0.9144352235448064
1.6,0.3,0.7500678576229087,5.121135152385481,0.9144352235448063
1.8,-0.3,0.7169372583948656,4.521135152385481,1.0287396264879072
1.8,-0.1,0.6785221174943288,4.721135152385482,1.0287396264879072
1.8,0.0,0.6879745774165116,4.821135152385481,1.0287396264879072
1.8,0.1,0.7133564121514303,4.921135152385482,1.0287396264879072
1.8,0.3,0.8048476633655607,5.121135152385482,1.0287396264879072
2.0,-0.3,0.7620692889557122,4.521135152385483,1.1430440294310078
2.0,-0.1,0.7342362175407695,4.721135152385482,1.1430440294310078
2.0,0.0,0.7460118427314055,4.821135152385481,1.1430440294310078
2.0,0.1,0.7723658286264109,4.921135152385482,1.1430440294310078
2.0,0.3,0.8710830320574353,5.12113515238548,1.143044029431008
