group,coef_perSD
NumHAcceptors,-0.18172033
fr_NH2,-0.17094368
fr_piperzine,-0.14303477
NumHDonors,-0.12448341
fr_piperdine,-0.10827366
fr_unbrch_alkane,-0.084232695
fr_imidazole,-0.080185644
fr_Ndealkylation2,-0.07085357
fr_quatN,-0.067675956
fr_COO,-0.062373087
fr_COO2,-0.062373087
fr_Ar_COO,-0.05809224
fr_ether,-0.05485791
fr_C_S,-0.049792126
fr_Al_OH,-0.044795822
fr_allylic_oxid,-0.043655608
fr_C_O,-0.041866586
fr_lactone,-0.03817519
fr_aldehyde,-0.037637472
fr_ketone_Topliss,-0.03337628
fr_aniline,-0.03160777
fr_Nhpyrrole,-0.03053906
fr_Ar_NH,-0.03053906
fr_Al_COO,-0.028398322
fr_NH1,-0.025451176
fr_nitro_arom,-0.023965238
NumAromaticHeterocycles,-0.023669701
fr_NH0,-0.022492526
fr_Ndealkylation1,-0.021240773
NumRotatableBonds,-0.020109033
fr_nitro,-0.019247597
fr_morpholine,-0.017436365
fr_guanido,-0.016620195
fr_lactam,-0.016026769
fr_ketone,-0.012175233
fr_alkyl_halide,-0.010995738
fr_hdrzine,-0.010428217
fr_ester,-0.00970809
fr_furan,-0.008770404
fr_oxime,-0.0073367064
fr_amidine,-0.004699123
fr_oxazole,-0.0046479953
fr_phos_acid,-0.0046151965
fr_phos_ester,-0.0046151965
fr_term_acetylene,-0.0030940666
fr_benzodiazepine,-0.0027451448
NumAromaticRings,-0.0024442072
fr_tetrazole,-0.0022152688
fr_pyridine,-1.1310869e-05
fr_nitroso,0.0
fr_barbitur,0.0
fr_isothiocyan,0.0
fr_azo,0.0
fr_isocyan,0.0
fr_epoxide,0.0
fr_azide,0.0
fr_diazo,0.0
fr_thiocyan,0.0
fr_amide,1.1472016e-05
fr_Imine,6.679714e-05
fr_SH,0.0029217117
fr_nitro_arom_nonortho,0.0057267505
fr_phenol_noOrthoHbond,0.0069152215
fr_phenol,0.008895817
fr_thiophene,0.013080022
fr_Ar_OH,0.013543752
fr_N_O,0.014129708
fr_HOCCN,0.014523312
fr_aryl_methyl,0.015931867
fr_prisulfonamd,0.016833188
fr_C_O_noCOO,0.019130243
fr_alkyl_carbamate,0.02105117
fr_sulfone,0.021711329
fr_imide,0.024781624
fr_sulfide,0.027430553
fr_thiazole,0.02841735
fr_benzene,0.02959506
fr_nitrile,0.030238215
fr_hdrzone,0.0318441
fr_bicyclic,0.03255773
fr_urea,0.03474938
fr_halogen,0.048049234
fr_Ar_N,0.052409064
fr_dihydropyridine,0.053354546
fr_ArN,0.058042575
fr_Al_OH_noTert,0.07168181
fr_methoxy,0.0798606
fr_priamide,0.10375204
fr_para_hydroxylation,0.10504282
RingCount,0.12630369
TPSA,0.14438118
MolWt,0.15071653
fr_sulfonamd,0.16321242
FractionCSP3,0.2451131
MolLogP,0.3961762
