name,nb,anchor,contaminated_anchor,claimed_random_RAE,scaffold_CV_RAE,delta,new_rank,per_fold_rae_str
nb2184_mean_bag_oof_honest_K20,2184,nb730_honest,True,0.3813,0.383693,0.002393,1.0,0.3711;0.3672;0.3909;0.4562;0.3335
nb2178_mean_bag_oof_K15,2178,nb730,True,0.380988,0.383719,0.002731,2.0,0.3790;0.3909;0.3824;0.4380;0.3284
nb2184_mean_bag_oof_honest_K15,2184,nb730_honest,True,0.382368,0.385045,0.002678,3.0,0.3877;0.3676;0.4099;0.4359;0.3239
nb2178_mean_bag_oof_K20,2178,nb730,True,0.383897,0.385912,0.002016,4.0,0.3778;0.3720;0.3965;0.4413;0.3422
nb2184_mean_bag_oof_honest_K28,2184,nb730_honest,True,0.389598,0.392266,0.002668,5.0,0.3947;0.3846;0.3846;0.4493;0.3484
nb2170_mean_bag_oof,2170,nb730_multi_seed_null_ensemble,True,0.391996,0.394884,0.002888,6.0,0.3960;0.3935;0.3796;0.4566;0.3491
nb2178_mean_bag_oof_K28,2178,nb730,True,0.395952,0.398833,0.002882,7.0,0.3982;0.3821;0.4005;0.4673;0.3464
nb2178_mean_bag_oof_K40,2178,nb730,True,0.405117,0.408391,0.003274,8.0,0.4219;0.3929;0.4010;0.4683;0.3581
nb2178_mean_bag_oof_K80,2178,nb730,True,0.414188,0.416375,0.002187,9.0,0.4001;0.4144;0.4043;0.4865;0.3772
nb2178_mean_bag_oof_K56,2178,nb730,True,0.413223,0.416418,0.003195,10.0,0.4179;0.4149;0.3963;0.4858;0.3677
nb2178_mean_bag_oof_K117,2178,nb730,True,0.416536,0.419121,0.002585,11.0,0.4117;0.4244;0.4020;0.4819;0.3760
nb2189_mean_bag_oof_K20,2189,?,True,0.458989,0.464186,0.005197,12.0,0.4891;0.4053;0.4503;0.5826;0.3946
nb2189_mean_bag_oof_K28,2189,?,True,0.464214,0.467975,0.003761,13.0,0.4732;0.4349;0.4328;0.5734;0.4268
nb2167_sklearn_mean_bag_oof_K28,2167,chemprop_aux,False,0.472467,0.472557,9e-05,14.0,0.4616;0.4217;0.5198;0.5051;0.4549
nb2189_mean_bag_oof_K15,2189,?,True,0.468019,0.472921,0.004902,15.0,0.4818;0.4068;0.4478;0.6172;0.4127
nb2123_mean_bag_oof_L12,2123,chemprop_aux,False,0.472623,0.473757,0.001133,,0.4803;0.4303;0.5068;0.5039;0.4476
nb2153_mean_bag_oof_K28_ff070,2153,chemprop_aux,False,0.472845,0.473874,0.001029,,0.4750;0.4375;0.5187;0.4991;0.4390
nb2174_mean_bag_oof_c2_0,2174,chemprop_aux,False,0.474184,0.474624,0.000441,,0.4643;0.4424;0.5156;0.5018;0.4489
nb2103_mean_bag_oof_K28,2103,chemprop_aux,False,0.473687,0.475072,0.001385,,0.4859;0.4314;0.5088;0.5043;0.4449
nb2121_mean_bag_oof_lam2,2121,chemprop_aux,False,0.473687,0.475072,0.001385,,0.4859;0.4314;0.5088;0.5043;0.4449
nb2151_mean_bag_oof_mc5,2151,chemprop_aux,False,0.473687,0.475072,0.001385,,0.4859;0.4314;0.5088;0.5043;0.4449
nb2153_mean_bag_oof_K28_ff100,2153,chemprop_aux,False,0.473687,0.475072,0.001385,,0.4859;0.4314;0.5088;0.5043;0.4449
nb2159_mean_bag_oof,2159,chemprop_aux,False,0.473687,0.475072,0.001385,,0.4859;0.4314;0.5088;0.5043;0.4449
nb2166_mean_bag_oof_ss100,2166,chemprop_aux,False,0.473687,0.475072,0.001385,,0.4859;0.4314;0.5088;0.5043;0.4449
nb2202_mean_bag_oof_K28,2202,chemprop_aux,False,0.473687,0.475072,0.001385,,0.4859;0.4314;0.5088;0.5043;0.4449
nb2123_mean_bag_oof_L16,2123,chemprop_aux,False,0.474221,0.475659,0.001439,,0.4869;0.4328;0.5090;0.5049;0.4446
nb2123_mean_bag_oof_L18,2123,chemprop_aux,False,0.474221,0.475659,0.001439,,0.4869;0.4328;0.5090;0.5049;0.4446
nb2153_mean_bag_oof_K28_ff080,2153,chemprop_aux,False,0.474966,0.476069,0.001103,,0.4793;0.4408;0.5204;0.4991;0.4404
nb2174_mean_bag_oof_signlog,2174,chemprop_aux,False,0.475371,0.476111,0.00074,,0.4746;0.4408;0.5131;0.5014;0.4506
nb2174_mean_bag_oof_c1_5,2174,chemprop_aux,False,0.475797,0.476305,0.000508,,0.4686;0.4479;0.5089;0.5020;0.4542
nb2123_mean_bag_oof_L14,2123,chemprop_aux,False,0.475729,0.476667,0.000937,,0.4822;0.4334;0.5119;0.5032;0.4528
nb2121_mean_bag_oof_lam3,2121,chemprop_aux,False,0.475701,0.476891,0.00119,,0.4782;0.4383;0.5110;0.5111;0.4459
nb2153_mean_bag_oof_K28_ff090,2153,chemprop_aux,False,0.476034,0.477326,0.001292,,0.4841;0.4340;0.5094;0.5106;0.4486
nb2121_mean_bag_oof_lam4,2121,chemprop_aux,False,0.476621,0.477749,0.001127,,0.4748;0.4439;0.5134;0.5123;0.4444
nb2151_mean_bag_oof_mc3,2151,chemprop_aux,False,0.476471,0.478003,0.001532,,0.4767;0.4482;0.4854;0.5271;0.4531
nb2142_mean_bag_oof_K28,2142,chemprop_aux,False,0.477479,0.478244,0.000764,,0.4700;0.4418;0.5285;0.5085;0.4423
