smiles,group
CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,med_rigid_carbo_amide
CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CCNC1,med_flex_carbo_amide
O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2c2c(F)cccc2F)C1,med_flex_carbo_sulfonyl
CC1CN(C(=O)c2cccc(-c3c(F)cccc3F)c2)CCN1c1nccn2cnnc12,med_flex_hetero_amide
CC1(c2noc(C3=NN(Cc4ccc(F)cc4)C(=O)CC3)n2)CCC1,med_flex_hetero_amide
COc1ncnc(OC)c1C(=O)N1CCC(Cc2ccc(F)cc2)C1,med_flex_hetero_amide
CCS(=O)(=O)N1CCC(c2ccccc2)(c2nc(Cc3cnc(C4CC4)o3)no2)CC1,med_verylex_hetero_sulfonyl
Fc1ccc(C2CCC(n3cc(C4CCNCC4)nn3)C2)cc1F,med_flex_hetero_plain
CC(C)c1ccc(CNC(=O)NCC2CC3(CC3)S(=O)(=O)N2)cc1,med_flex_carbo_sulfonyl
Cc1nnc2ccc(-c3noc(C4CC(C)(C)Oc5ccccc54)n3)cn12,med_rigid_hetero_plain
CN(CC1CCCCC1O)C(=O)NCC1CCN(CC(F)(F)F)CC1,med_flex_no_arom_amide
CCCOc1ccc(S(=O)(=O)Nc2noc(Cc3ccccc3)n2)cc1,med_verylex_hetero_sulfonyl
COCC(NC(=O)c1cc(S(=O)(=O)N(C)C)c[nH]1)c1cccc(Br)c1,med_verylex_hetero_sulfonyl
Cc1ccc(NCc2cccc3ccccc23)cc1-n1cnnn1,med_flex_hetero_plain
O=C(Cc1cc2cc(Cl)ccc2[nH]1)N[C@H]1CCCc2cccnc21,med_flex_hetero_amide
Cc1ccc(C)c(S(=O)(=O)NCC(=O)N2CCC(C3CCCO3)C2)c1,med_flex_carbo_sulfonyl
O=C(CNS(=O)(=O)c1ccccc1F)N1C[C@H]2C[C@H](c3ccccc3)[C@H]2C1,med_flex_carbo_sulfonyl
Cc1nocc1Cc1noc(-c2cccn(CC(C)C)c2=O)n1,med_flex_hetero_amide
Cc1cc(F)ccc1Cc1noc(C2CCc3nccn3C2)n1,med_flex_hetero_plain
COC(c1noc(Cc2cc(C)on2)n1)c1ccccc1Cl,med_flex_hetero_plain
CC(C)Oc1ccccc1CC(=O)NC1CCN(Cc2ccccc2)C1=O,med_verylex_carbo_amide
O=C1CCCN1[C@H]1CCCC[C@H]1c1nc(-c2cnn(CCF)c2)no1,med_flex_hetero_amide
COc1cc(NCCNC(=O)c2cnn3c2NCCC3)cc(OC)c1,med_verylex_hetero_amide
O=C(NCc1c[nH]c(=O)c2ccccc12)N1CC2(CC=CC2)C1c1ccccc1,med_flex_hetero_amide
Cc1cc(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2CC3(CCC3)C2)c(C)cc1Cl,med_rigid_carbo_amide
CC(C)(C)OC(=O)N1CC2(CCCC2)CCC1CN1CCCN(C(N)=O)CC1,med_rigid_no_arom_amide
CCc1nn(Cc2cccc3c2CCOC3)c(=O)c(C#N)c1CC,med_flex_hetero_amide
O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)c1cnc2ccccc2c1,med_flex_hetero_sulfonyl
Cc1nccn1-c1ncccc1CNC1CCCc2ccc(F)cc21,med_flex_hetero_plain
CCn1ccnc1[C@H]1OCCC[C@@H]1NC(=O)c1ccc(Br)o1,med_flex_hetero_amide
CCC(=O)NC(C(=O)N1CC=C(c2cccs2)CC1)c1ccccc1,med_flex_hetero_amide
O=C(NC1(c2c(F)cccc2F)CCC1)C1CNCc2ccccc21,med_flex_carbo_amide
CCOc1ccc(C(=O)N(C)CCc2ccc(O)c(OC)c2)cc1C,med_verylex_carbo_amide
COC(=O)[C@H]1[C@H]2CC[C@H]2CN1C(=O)CCc1n[nH]c2ccccc12,med_flex_hetero_amide
CC(C)Cn1cc(C(=O)N2CCCC2c2ccc3c(c2)OCO3)cn1,med_flex_hetero_amide
Cc1cnn(C)c1S(=O)(=O)N(C)CCNc1ccccn1,med_flex_hetero_sulfonyl
Cc1cccc(C2CCCN2C(=O)CCn2c(=O)n(C)c3ccccc32)n1,med_flex_hetero_amide
CCN1N=C(c2ccccc2)C(C(=O)Nc2ccccc2F)C1=O,med_flex_carbo_amide
CCCOC1(c2noc(-c3cc(=O)[nH]c(C4CC4)n3)n2)CCCCC1,med_flex_hetero_plain
O=C1NC(Cc2ccccn2)C(=O)N1CCc1cccc2cccnc12,med_flex_hetero_amide
CC(Sc1nnc(-c2c[nH]c3ccccc23)o1)C(=O)NCC(F)(F)F,med_flex_hetero_amide
CN(C)c1cccc(S(=O)(=O)N2CCN(c3cnccn3)CC2)c1,med_flex_hetero_sulfonyl
COc1ccc(CC(=O)NC(c2ccc(F)c(F)c2)C(C)(C)N2CCCC2)cc1,med_verylex_carbo_amide
CNC(=O)c1ncoc1C1C2CC1N(C(=O)Cc1ccc(Cl)cc1Cl)C2,med_flex_hetero_amide
O=C(Cc1noc2ccccc12)NC1CCCN(Cc2ccc(F)cc2F)C1=O,med_flex_hetero_amide
C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1,med_flex_no_arom_sulfonyl
O=C1CCCN1CC(NCc1n[nH]c2ccccc12)c1ccccc1,med_flex_hetero_amide
COC1(C)CCCN(C(=O)c2ncccc2NCC2CCC2)CC1,med_flex_hetero_amide
COc1ccc2nc(C(=O)N(C)CCc3ccc(F)cc3)ccc2c1,med_flex_hetero_amide
CCOC(=O)c1c(NC(=O)CN(C)Cc2ccon2)sc(C(N)=O)c1C,med_verylex_hetero_amide
O=C(c1ccc(-c2nc3ccccc3s2)o1)N1CCCC(N2CCNC2=O)C1,med_flex_hetero_amide
O=C1c2ccccc2CN1CC(=O)N1CCCC1c1nc2ccccc2s1,med_flex_hetero_amide
Cc1cccn2c(=O)cc(Cn3cc(C(O)c4ccccc4)nn3)nc12,med_flex_hetero_acid
CC(C)Cn1cccc(-c2nc(-c3coc(C4CCC4)n3)no2)c1=O,med_flex_hetero_amide
N#Cc1ccc(CCSc2ccc(C(=O)N3CCCC3)cn2)cc1,med_flex_hetero_amide
CC1(NC(=O)c2ccc(=O)n(-c3ccccc3)n2)CCCCC1,med_flex_hetero_amide
CC1c2c(F)cccc2CCN1C(=O)Nc1ccc(-n2cccn2)nc1,med_rigid_hetero_amide
CON(C)C(=O)c1cc(-c2cccnc2)nc2c1cnn2Cc1ccco1,med_flex_hetero_amide
CC(C)(C)OC(=O)NCc1cc(-c2nc(-c3cnc4cnccn34)no2)ccn1,med_flex_hetero_amide
CC1(C)CN(c2cc(-c3ccccc3)nc3ncnn23)CC2(CCOC2)O1,med_rigid_hetero_plain
Cc1c(CNC(=O)C(c2ccccc2)N2CCC(O)CC2)oc2ccc(F)cc12,med_flex_hetero_amide
Cc1cc(C(=O)NC2(c3ccccn3)CC2)nn1-c1cccc(Cl)c1,med_flex_hetero_amide
COCc1cc(Cn2cc(C34CC5CC(CC(C5)C3)C4)nn2)no1,med_flex_hetero_plain
O=C(Nc1cc2n(n1)CCCC2)c1cccc(C2CCOC2)c1,med_flex_hetero_amide
Cc1conc1CS(=O)(=O)N(C)C(c1ccccc1)C(F)(F)F,med_flex_hetero_sulfonyl
Cc1ccc(N(C)C(=O)[C@H]2C[C@@H]2c2ccc(OC(F)F)cc2)nn1,med_flex_hetero_amide
