name,inchikey,cid,anchor_pec50
OADMET-0006617,MXVNZLMSWKIWPW-UHFFFAOYSA-N,,
OADMET-0006616,WKSXSTRTSACGEN-UHFFFAOYSA-N,,
OADMET-0006615,KPQLYHAILKEOPQ-UHFFFAOYSA-N,,
OADMET-0006614,FUKVXEGKZLQFNL-UHFFFAOYSA-N,,
OADMET-0006613,SCPRVCRZHVPKLD-UHFFFAOYSA-N,,
OADMET-0006612,GRRXOIMZKROUJB-UHFFFAOYSA-N,,
OADMET-0006611,YKNHSIPXASVCCU-KSMLVUNXSA-N,,
OADMET-0006610,RJWCNWNNABAKHU-UHFFFAOYSA-N,,
OADMET-0006609,JBAZLIIRSZFELZ-UHFFFAOYSA-N,,
OADMET-0006608,TYXAWTYGUIZJQA-UHFFFAOYSA-N,,
OADMET-0006607,KSZUHJDXFNOZAX-UHFFFAOYSA-N,,
OADMET-0006606,MOJVVQSWSMKIAN-UHFFFAOYSA-N,,
OADMET-0006605,VYJHYXGSFJUKHH-UHFFFAOYSA-N,,
OADMET-0006604,YGOZMPQSOVOEFW-UHFFFAOYSA-N,,
OADMET-0006603,WQXJMCFTTNHOKM-UHFFFAOYSA-N,,
OADMET-0006602,CXGASDCRJCPHNM-UHFFFAOYSA-N,,
OADMET-0006601,HZYLYVJGIBASSW-UHFFFAOYSA-N,,
OADMET-0006600,NXOOQLSEMPVQBV-UHFFFAOYSA-N,,
OADMET-0006599,JNMBUNCAVAQQQX-UHFFFAOYSA-N,,
OADMET-0006598,CDLAWHKYLDYWRA-UHFFFAOYSA-N,,
OADMET-0006597,QTPUYZHOAQIFOH-UHFFFAOYSA-N,,
OADMET-0006596,ANBSJISXBRSMBJ-UHFFFAOYSA-N,,
OADMET-0006595,XHMRHVMVFSPYOG-UHFFFAOYSA-N,,
OADMET-0006594,MXUJLCXEOWHBQS-UHFFFAOYSA-N,,
OADMET-0006593,ZTFVHUMBZXGEFS-UHFFFAOYSA-N,,
OADMET-0006592,FHYNURLETVEOII-UHFFFAOYSA-N,,
OADMET-0006591,GAJKRXTTWPIVGD-UHFFFAOYSA-N,,
OADMET-0006590,NSKDYCIRIAJLLX-UHFFFAOYSA-N,,
OADMET-0006589,ABSKUSPPWSRJDC-UHFFFAOYSA-N,,
OADMET-0006588,GPIVGVLJKQYJPJ-UHFFFAOYSA-N,,
OADMET-0006587,FNCBHXBFQJNUKT-UHFFFAOYSA-N,,
OADMET-0006586,WETPMOBOGQDFOY-UHFFFAOYSA-N,,
OADMET-0006585,YBBZRYZPMFGACI-UHFFFAOYSA-N,,
OADMET-0006584,POPXRXRSPIHYIZ-UHFFFAOYSA-N,,
OADMET-0006583,PLIFRKKNLIVGSF-UHFFFAOYSA-N,,
OADMET-0006582,MIHQOVWURRKPCA-UHFFFAOYSA-N,,
OADMET-0006581,XRPWPGQIRUZTNN-UHFFFAOYSA-N,,
OADMET-0006580,SGCOMSXBUQWSBL-UHFFFAOYSA-N,,
OADMET-0006579,BYKZUEOSWYGKMJ-UHFFFAOYSA-N,,
OADMET-0006578,QEPYPTWVHZEDEC-UHFFFAOYSA-N,,
OADMET-0006577,FSJCZEKPLMBFAM-UHFFFAOYSA-N,,
OADMET-0006576,VGKTZOSSNOYRLG-UHFFFAOYSA-N,,
OADMET-0006575,FLPFGAVRHGFMLG-UHFFFAOYSA-N,,
OADMET-0006574,LCUBNOXBRVRFKV-UHFFFAOYSA-N,,
OADMET-0006573,UGDSAPKLACMMRA-UHFFFAOYSA-N,,
