model,rae,spearman,kendall,r2,mae,te_std
chemprop_aux,0.6215728863514471,0.7626267819455032,0.5626071012889717,0.52352532609695,0.49642716934545156,0.5832170833108092
chemprop_aux_BAD4141,0.6215728863514471,0.7626267819455032,0.5626071012889717,0.52352532609695,0.49642716934545156,0.5832170833108092
grand_v6b_calib,0.6408770970494169,0.7511791048540577,0.5496100955452278,0.5095059696026237,0.5118447251682178,0.6379677644676645
nb306_cepsmim,0.6486200873438499,0.7638220502983207,0.5647418751792485,0.47788633489626087,0.5180287638200602,0.6653135418891907
grand_v6c,0.6488075850474847,0.7511791048540577,0.5496100955452278,0.5069437426429197,0.5181785112693427,0.610272811067368
grand_v6b,0.6488075850474847,0.7511791048540577,0.5496100955452278,0.5069437426429197,0.5181785112693427,0.610272811067368
nb132_seed_ensemble,0.6586828737703991,0.7380033646511611,0.5380572015507887,0.4826832960659787,0.5260655374489459,0.7190063183763724
nb305_mope,0.6600968418197544,0.7516259410702691,0.5452777602973132,0.4443453926816562,0.5271948211929757,0.5600736676153769
oof_all_feature_fusion,0.6624935784272319,0.7434480231894914,0.539752463169538,0.44942327728114617,0.5291090056689117,0.6847282994056701
nb130_external_pxr,0.6630772562529069,0.7419893215450268,0.5405687002452321,0.483186109574288,0.5295751674613128,0.751767624988033
deep_ensemble,0.6656548398180969,0.7499019535793638,0.5509914198271716,0.4273385656968446,0.5316337876828763,0.6464466452598572
nr_weighted,0.6729177027109073,0.7277031599988588,0.5324063294882915,0.43107687728268496,0.5374343664185186,0.6229632985647947
oof_selectivity_aware,0.6729602392739175,0.7193751851798014,0.5262531576869055,0.4164643931516073,0.5374683387909184,0.5826842478386273
oof_lgbm_chembl_all_nr_weighted,0.6746073163056028,0.7102839041129176,0.5207046340366561,0.4017827693972498,0.538783798017805,0.617189217275181
grand15,0.6768964247566899,0.7282322496479052,0.5280739942403768,0.44192805924943623,0.5406120238842327,0.5937288785070199
morgan_protbert_nr,0.6784770094314684,0.7330358747696686,0.5337018436406097,0.43277139533167674,0.5418743781362286,0.6464553574139671
nb147_pseudo_iter,0.6788825868441788,0.7454762001775024,0.5388734386264828,0.44395481428763295,0.5421982977462426,0.5464101287926331
catboost,0.6791665905634746,0.7394794803106853,0.5341015911070407,0.42332063517212226,0.5424251209644837,0.6377439338178021
morgan_esm2_nr,0.6799458252133466,0.7321885656650737,0.5284507190445433,0.441879975170261,0.5430474667263178,0.6522249884343956
oof_delta_chemprop_cpu,0.6821212672077747,0.731880300547422,0.5314645174778753,0.43046085520273925,0.5447849114171702,0.5897562631221749
nb264_chemprop_mt,0.6851493381022231,0.7543966220195467,0.5536912809236981,0.47995132037262733,0.5472033191304347,0.608725984129952
xgboost_dart,0.686183105886455,0.7187375358198513,0.5158304381049659,0.44057446586492965,0.5480289510493223,0.6720274090766907
aug_lgbm_pap,0.6871282344543969,0.7235023067489379,0.5182791493320481,0.4546238133725936,0.5487837901196121,0.6487191412650701
grand25,0.6882913390232956,0.7199957910356506,0.522799846982046,0.4634605419972082,0.5497127185228126,0.6292894980861732
grand24,0.6891173920725685,0.720066929139724,0.5229254219167682,0.46211057316338255,0.5503724564006772,0.6296214753851243
nb216_aux_stack,0.689773149641357,0.734081876664112,0.5319668172167639,0.42268981220845947,0.550896185605729,0.5860786166104471
nb98_chembl_bayesian_fp,0.6899936231203638,0.7253744986233294,0.5234905091230179,0.4241892891175081,0.5510722695815624,0.6500948257597667
oof_multi_nr_transfer,0.6900582295444403,0.7180439393051351,0.5179024245278816,0.4241148445687011,0.5511238683319746,0.6528761943726888
hard_negatives,0.6902814351352894,0.7221632801441386,0.5251857707417671,0.43249451317187604,0.551302134344023,0.6500689681180765
nb97_pxr_features,0.6903146085647818,0.7235245374064608,0.522109184841074,0.4238777151819305,0.5513286287295762,0.6587408595706756
lgbm_pubchem,0.6904265738565217,0.7253681999370312,0.5222347597757963,0.4256351069953258,0.5514180512479386,0.6493752669136981
lgbm_all_external,0.6904265738565217,0.7253681999370312,0.5222347597757963,0.4256351069953258,0.5514180512479386,0.6493752669136981
