gate_member_id,name,in_gate,in_gate_nb390,is_unblind,truth_if_unblind,group_label,scaf_train_freq,nn_sim_train,best_pred,best_pred_nb390,logp,mw,scaffold
0,OADMET-0006617,False,False,True,3.515,,11,0.4716981,3.616753,3.903735492217044,3.2044000000000015,345.298,O=S(=O)(Nc1ccccc1)c1ccccc1
1,OADMET-0006616,False,False,False,,,0,0.6111111,3.9403062,4.696841025607354,1.7738,278.312,O=C(c1csnn1)N1CCNc2ccccc21
2,OADMET-0006615,True,True,True,5.335,F2_gate_active,0,0.5217391,5.560163,5.455008513959555,3.187000000000002,359.51400000000007,O=C(c1ccnc(N2CCCCC2)c1)N1CCCCC1
3,OADMET-0006614,False,False,False,,,0,0.61403507,5.2404113,5.131145228178202,2.9914200000000015,382.86900000000026,O=S(=O)(Nc1ccccc1N1CCOCC1)c1ccccc1
4,OADMET-0006613,True,True,False,,,0,0.5441176,4.6976256,4.659009445736938,2.6207400000000014,315.421,O=C(c1cn[nH]c1)N1CCCCC1c1ncc[nH]1
5,OADMET-0006612,True,True,True,4.28,mid,0,0.5873016,4.7572474,4.851607340655817,2.872600000000001,279.299,O=C(c1cc(-c2ccco2)[nH]n1)N1CCc2ccccc21
6,OADMET-0006611,False,False,False,,,0,0.6268657,3.3921425,3.895736717611551,2.12202,361.37300000000016,O=C(NCC1CCC1)c1cnn(-c2ccccc2)c1
7,OADMET-0006610,False,False,True,4.949999999999999,,11,0.5319149,5.234507,4.994590769916179,3.2433400000000017,279.336,O=S(=O)(Nc1ccccc1)c1ccccc1
8,OADMET-0006609,False,False,True,2.015,,0,0.53333336,2.5304198,3.1497794633976044,3.306400000000002,335.40700000000004,O=C(Nc1ccncc1)c1ccc(CNC(=O)C2CC=CCC2)cc1
9,OADMET-0006608,True,True,False,,,0,0.47540984,4.38895,4.617918029517816,2.5654000000000003,325.41600000000005,O=C(Nc1ccncn1)N1CCCc2ccccc2CC1
10,OADMET-0006607,False,False,False,,,0,0.64285713,5.0575438,5.231002384135167,2.0057799999999997,322.43400000000014,c1cc(NCC2CCC2)ccn1
11,OADMET-0006606,False,False,True,5.49,,0,0.7,5.607543,5.602524922788144,3.2216200000000024,347.46100000000007,O=S(=O)(NCCc1cccc2ccccc12)c1cccs1
12,OADMET-0006605,True,True,False,,,0,0.5106383,5.3795238,5.516622639409022,3.4073600000000024,336.45700000000005,O=S(=O)(Cc1ccccc1)Cc1nnco1
13,OADMET-0006604,False,False,True,4.715,,1,0.59016395,4.989141,5.072490216717376,3.4956000000000023,347.4140000000001,O=C(C1CC12CCc1ccccc12)N1CCCc2ccccc21
14,OADMET-0006603,False,False,True,2.275,,0,0.50769234,3.1695144,3.899273524788745,1.434599999999999,363.3730000000001,O=C(Cn1ncc(=O)c2ccccc21)N1CCc2ccccc2C1
15,OADMET-0006602,False,False,False,,,1,0.6727273,5.564569,5.58126797214616,3.2641800000000014,355.8910000000002,c1ccc(NCC2CCC2)cc1
16,OADMET-0006601,False,False,False,,,0,0.6111111,4.789609,5.046136588303503,2.625720000000001,285.322,O=C(c1ccccn1)N1CCNc2ccccc21
17,OADMET-0006600,True,True,True,3.99,mid,0,0.5625,4.1412134,4.360121896813995,1.1723999999999997,283.35699999999997,O=S(=O)(Nc1cn[nH]c1)c1ccn[nH]1
18,OADMET-0006599,False,False,True,2.3600000000000003,,0,0.5,3.4990814,3.86489214151765,2.7301,306.163,O=C(NCc1cccnc1)c1cccnc1
19,OADMET-0006598,False,False,False,,,0,0.6805556,5.1017876,5.123893066807732,3.669820000000003,405.3760000000002,O=C(c1cc(-c2ccccc2)nc2oncc12)N1CCC1
20,OADMET-0006597,False,False,True,5.215,,0,0.8064516,5.4873943,5.497648564460484,3.3924800000000017,346.434,O=C(c1ccnc(N2CCCCC2)c1)N1CCc2ccccc21
21,OADMET-0006596,True,True,True,4.89,mid,0,0.5625,5.0506554,5.199184292530691,2.6221000000000005,300.402,O=C(C1CC12CCCNC2)N1CCCc2ccccc21
22,OADMET-0006595,False,False,False,,,2,0.49333334,4.0301666,4.526709357107277,3.2978000000000014,427.27400000000006,c1ccc(Cn2cccn2)cc1
23,OADMET-0006594,True,True,False,,,0,0.5967742,5.7559056,5.475047654859397,4.067900000000003,388.2400000000002,O=C(c1[nH]nc2ccccc12)N1CCCc2ccccc21
24,OADMET-0006593,True,True,True,4.46,mid,0,0.43661973,4.235675,4.801483404157429,2.0247,308.38500000000005,O=C(C1CC12CCc1ccccc12)N1CCC(c2nnc[nH]2)C1
25,OADMET-0006592,False,False,False,,,1,0.55,4.261733,4.85797800719738,2.5464200000000003,329.42900000000003,c1ccc2c(c1)ncn1ncnc21
26,OADMET-0006591,False,False,False,,,0,0.61764705,5.8273125,5.64253948809579,4.037900000000003,369.46500000000015,O=C(CCc1nc(C2CCCC2)no1)N1CCCCc2ccccc21
27,OADMET-0006590,True,True,False,,,0,0.515625,5.5716863,5.4686547165415655,4.174800000000004,384.27700000000004,O=C(c1[nH]nc2ccccc12)N1CCCc2ccccc21
28,OADMET-0006589,False,True,True,3.42,,0,0.50877196,3.9288676,4.171539169435871,1.56344,258.329,c1cnc(N2CCCC2c2nnc[nH]2)nc1
29,OADMET-0006588,True,True,False,,,0,0.52112675,5.3519616,5.381587148352312,3.480220000000002,399.87800000000004,O=C(NCCc1ccccc1)c1cnn(-c2ccccc2)c1
30,OADMET-0006587,True,True,True,5.31,F2_gate_active,0,0.54545456,5.001891,5.076888929044669,2.08964,295.40399999999994,O=C(CS(=O)(=O)c1ccccc1)N1CCCCC1
31,OADMET-0006586,True,True,False,,,0,0.57746476,5.21332,5.158696869771709,2.4412200000000004,361.46700000000016,O=C(NCC1CSCCO1)c1cnn(-c2ccccc2)c1
32,OADMET-0006585,False,False,True,4.215,,1,0.46875,4.145467,4.788024566817497,2.7372000000000005,389.3550000000001,O=S(=O)(Nc1cc2n(n1)CCCC2)c1ccccc1
33,OADMET-0006584,True,True,False,,,0,0.49315068,5.1496396,5.240372608690226,2.8767200000000015,343.42700000000013,O=C(NC1CCOCC1)c1cnn(-c2ccccc2)c1
34,OADMET-0006583,True,True,False,,,0,0.4923077,5.391283,5.425307712774705,3.187400000000002,368.4810000000001,O=C(NCc1ccn[nH]c1=O)N1CCC1c1ccccc1
35,OADMET-0006582,True,True,True,4.67,mid,0,0.516129,4.3738813,4.556490316058315,2.8377000000000017,314.36,O=C(CNc1ccccc1)N1CCOC(c2ccccc2)C1
36,OADMET-0006581,True,True,True,5.395,F2_gate_active,0,0.5555556,5.5761366,5.573786186988538,3.9729000000000028,393.41300000000007,O=C(Nc1ccccc1)N1CCN(c2ncccn2)CC1
37,OADMET-0006580,False,False,True,5.265,,1,0.48214287,5.441946,5.4459302372495335,3.2273400000000017,324.4710000000001,O=S(=O)(Nc1ccccc1)c1cccs1
38,OADMET-0006579,True,True,True,5.15,F2_gate_active,0,0.5070422,5.159832,5.185550782255901,3.715600000000003,356.369,c1ccc(SCc2cc3n(n2)CCCC3)cc1
39,OADMET-0006578,True,True,True,4.890000000000001,mid,0,0.49019608,4.9602475,5.078530166365207,2.7171400000000014,279.36100000000005,O=S(=O)(NCc1ccco1)c1ccccc1
40,OADMET-0006577,False,False,False,,,1,0.754717,5.4269037,5.4904948546921,3.197400000000002,347.43600000000004,O=C(c1ccco1)N1CCCCCc2ccccc21
41,OADMET-0006576,False,False,False,,,0,0.74,5.777833,5.758566142589827,3.739900000000003,431.7390000000001,O=S(=O)(Nc1ccccc1N1CCOCC1)c1ccccc1
42,OADMET-0006575,True,True,False,,,0,0.5441176,5.457984,5.240809440659543,4.291300000000004,402.494,O=C(c1ccc(OCC2CCCO2)cc1)N1CCn2cccc2C1c1ccccc1
43,OADMET-0006574,True,True,True,5.405,F2_gate_active,0,0.49056605,5.5965734,5.587444224969848,3.1697000000000015,387.50100000000026,O=S(=O)(c1ccccc1-c1ccccc1)N1CCOCC1CC1CCOC1
44,OADMET-0006573,True,True,True,4.775,mid,0,0.43283582,4.441634,4.58400126372004,3.426700000000002,325.4120000000002,c1cnc(COc2ccc(NCC3(C4CCCO4)CC3)cc2)cn1
45,OADMET-0006572,False,True,False,,,0,0.54545456,3.366129,4.1685430751842185,3.0096000000000007,341.36300000000006,O=C(c1ccccc1)N1CCCc2ccccc21
46,OADMET-0006571,True,True,False,,,0,0.42028984,4.8845263,4.938802715678548,2.41702,348.4240000000001,O=S(=O)(c1cccc2cccnc12)N1CCCC1
47,OADMET-0006570,True,True,True,4.84,mid,0,0.4920635,5.2613654,5.154316055072563,2.854400000000001,354.47200000000015,O=C(Nc1ccccc1)C1CCC1
48,OADMET-0006568,True,True,True,5.105,F2_gate_active,0,0.5205479,5.038188,5.063249219904662,2.0585999999999993,344.4590000000002,O=C1CN(C(=O)c2ccnc(N3CCCCC3)c2)CCN1
49,OADMET-0006567,True,True,True,4.835,mid,0,0.48214287,4.9446845,4.969472672883855,2.5897000000000006,364.38900000000024,O=S(=O)(NC1CCCCC1)c1ccccc1
50,OADMET-0006566,False,False,True,1.945,,0,0.41269842,2.260409,3.140536295994406,2.603300000000001,282.34700000000004,c1ccc(-n2cnc3ccccc32)nc1
