model,rae,mae,spearman
chemprop_aux,0.6215728863514471,0.49642716934545156,0.7626267819455032
chemprop_aux_BAD4141,0.6215728863514471,0.49642716934545156,0.7626267819455032
grand_v6b_calib,0.6408770970494169,0.5118447251682178,0.7511791048540577
nb306_cepsmim,0.6486200873438499,0.5180287638200602,0.7638220502983207
grand_v6b,0.6488075850474847,0.5181785112693427,0.7511791048540577
grand_v6c,0.6488075850474847,0.5181785112693427,0.7511791048540577
deep_ensemble,0.6656548398180969,0.5316337876828763,0.7499019535793638
grand15,0.6768964247566899,0.5406120238842327,0.7282322496479052
morgan_protbert_nr,0.6784770094314684,0.5418743781362286,0.7330358747696686
nb147_pseudo_iter,0.6788825868441788,0.5421982977462426,0.7454762001775024
catboost,0.6791665905634746,0.5424251209644837,0.7394794803106853
morgan_esm2_nr,0.6799458252133466,0.5430474667263178,0.7321885656650737
aug_lgbm_pap,0.6871282344543969,0.5487837901196121,0.7235023067489379
grand25,0.6882913390232956,0.5497127185228126,0.7199957910356506
grand24,0.6891173920725685,0.5503724564006772,0.720066929139724
hard_negatives,0.6902814351352894,0.551302134344023,0.7221632801441386
lgbm_all_external,0.6904265738565217,0.5514180512479386,0.7253681999370312
lgbm_base,0.6904265738565217,0.5514180512479386,0.7253681999370312
lgbm_bindingdb,0.6904265738565217,0.5514180512479386,0.7253681999370312
lgbm_pubchem,0.6904265738565217,0.5514180512479386,0.7253681999370312
grand23,0.6956106278103421,0.5555583625236369,0.7164233243717117
grand18,0.6972014408396037,0.5568288857823165,0.7164092449552805
nb100_emax_corrected,0.6996522268017217,0.5587862374695616,0.7129090279282914
aug_lgbm_ext,0.704843919478304,0.5629326495093077,0.7131065102692868
lgbm_cliff_oversample,0.7070442903174783,0.5646900039422098,0.6930437123657791
nb175_eng_v2,0.7148096674881773,0.5708919221603257,0.7176719463025844
nb155_tta,0.7154244317514084,0.5713829115353641,0.7053050315225647
nb172_bruensemble,0.7166812807137717,0.5723867101024851,0.7142406443139163
nb153_counter_multi,0.720007102319334,0.5750429202455763,0.7033817091358704
nb154_goss_aux,0.7202836054324798,0.5752637530083757,0.7204029825792793
nb174_engineered,0.7208887968841441,0.5757470969345004,0.7079767860458651
nb139_adaptive_blend,0.7212631963979831,0.5760461159151229,0.6696385351036951
nb152_top3d,0.7228197819478379,0.5772893029577468,0.712460709668245
nb176_atom_sim,0.7250165715977626,0.579043797227857,0.7127882413557499
nb138_elnet_final,0.7255835265450004,0.5794966030786008,0.6686337093836575
nb136_xgb_meta,0.725665945818155,0.5795624282897227,0.6573460930263774
nb142_xgb_calibrated,0.725665945818155,0.5795624282897227,0.6573460930263774
nb150_smarts,0.7256680250934943,0.5795640889296791,0.7031568089839298
nb134_grand_v9,0.7257324064037917,0.5796155078900803,0.6539410973157781
lgbm_aug,0.72663380741174,0.580335423382932,0.6876994622972609
nb141_xgb_ablation,0.7270100250929704,0.5806358944662947,0.6636329229738689
nb180_full,0.7270517110615825,0.5806691875005533,0.708250964155315
nb170_boltz_feat,0.7273664336031687,0.5809205447007778,0.7076470312926079
nb140_xgb_lgbm_meta,0.7313835283496438,0.5841288490167702,0.6514771994403173
nb213_chemberta_mtr,0.7316958727389314,0.5843783068751158,0.6742565233460589
nb148_pxr_network,0.7343437490671652,0.5864930673147446,0.6981615802385219
