family,n,RAE,MAE,bias,truth_range,example
2,11,0.644,0.934,0.447,"[2.1,6.8]",OADMET-0006572
15,9,1.066,0.8,-0.399,"[2.3,6.1]",OADMET-0006553
27,5,1.527,0.734,0.64,"[2.5,4.6]",OADMET-0006512
11,9,1.037,0.694,-0.426,"[3.8,6.8]",OADMET-0006492
7,10,0.725,0.691,0.66,"[2.1,6.1]",OADMET-0006607
8,10,1.223,0.655,-0.469,"[3.0,6.0]",OADMET-0006537
5,10,0.777,0.569,0.241,"[3.5,6.0]",OADMET-0006560
25,5,0.671,0.515,0.031,"[2.1,5.4]",OADMET-0006616
30,4,0.614,0.513,-0.112,"[3.3,5.5]",OADMET-0006571
10,9,0.533,0.496,0.334,"[2.8,6.2]",OADMET-0006611
29,4,0.657,0.494,-0.256,"[3.5,5.9]",OADMET-0006528
12,9,0.965,0.439,0.134,"[3.0,5.6]",OADMET-0006575
0,15,0.468,0.434,-0.143,"[2.9,6.7]",OADMET-0006577
4,10,0.662,0.424,-0.095,"[3.3,5.8]",OADMET-0006448
9,10,1.152,0.422,-0.298,"[4.9,6.6]",OADMET-0006524
17,8,3.115,0.405,-0.379,"[5.6,6.0]",OADMET-0006598
20,6,0.656,0.401,-0.097,"[3.5,5.7]",OADMET-0006595
19,7,0.921,0.391,0.211,"[3.9,5.8]",OADMET-0006554
6,10,0.624,0.39,-0.003,"[2.3,4.8]",OADMET-0006450
28,4,0.986,0.345,-0.18,"[4.5,5.6]",OADMET-0006357
1,6,0.755,0.344,-0.17,"[4.5,6.7]",OADMET-0006551
13,9,0.556,0.333,-0.19,"[3.2,5.8]",OADMET-0006497
31,4,1.224,0.32,0.32,"[4.8,5.6]",OADMET-0006605
16,8,0.771,0.25,-0.151,"[4.9,6.2]",OADMET-0006614
18,7,0.861,0.239,0.084,"[4.8,5.8]",OADMET-0006583
26,5,1.302,0.232,-0.097,"[5.1,5.6]",OADMET-0006383
24,4,1.688,0.228,0.205,"[5.3,5.7]",OADMET-0006594
3,10,1.001,0.211,0.149,"[4.5,5.4]",OADMET-0006613
14,9,0.61,0.196,0.031,"[4.1,5.3]",OADMET-0006592
22,6,1.089,0.181,-0.135,"[4.7,5.4]",OADMET-0006562
21,5,0.665,0.138,-0.002,"[4.9,5.7]",OADMET-0006591
