family,name,nb,train_oof_rae,te_unblind_rae
structure3D,oof_nb390_pcs_iso,390,0.5609958182527021,0.5824725331639368
gnn,oof_chemprop_aux,-1,0.5665442149763529,0.6215728863514471
blend_stack,oof_grand_v6b_calib,-1,0.5249740946803179,0.6408770970494169
domain_adapt,oof_nb306_cepsmim,306,0.6436177341139931,0.6486200873438499
external_aug,oof_nb130_external_pxr,130,0.5741599801846325,0.6630772562529069
aux_signal,oof_selectivity_aware,-1,0.5917301675353261,0.6729602392739175
foundation_emb,oof_morgan_protbert_nr,-1,0.5749102790687574,0.6784770094314684
gbdt,oof_catboost,-1,0.5593975721438864,0.6791665905634746
other,oof_nb417_tox21,417,0.5569880969651383,0.6798750487465034
mmp_fragment,oof_free_wilson,-1,0.5636155037027998,0.6970052492754975
knn_analogy,oof_nb257_ext_knn,257,0.5512229623900881,0.7224638965792747
delta_ml,oof_consensus_delta_ml,-1,0.5172795792218684,0.7711679510363595
