aid,n_cid,n_active,name
1346982,7671,1888,"Human pregnane X receptor (PXR) small molecule agonists, qHTS assay"
1346985,2408,229,"Human pregnane X receptor (PXR) activation by small molecules, qHTS as"
720659,2327,238,qHTS assay for small molecule activators of the human pregnane X recep
1961803,841,100,Binding affinity towards human NR1I2 in an in vitro cell free assay me
1961801,576,41,Agonist activity at human NR1I2 in an in vitro cell free assay measure
1961802,518,14,Antagonist activity at human NR1I2 in an in vitro cell free assay meas
1920058,209,1,Dual reporter qHTS for agonist of Pregnane X Receptor (hPXR) against t
1920059,209,9,Dual reporter qHTS for agonist of Pregnane X Receptor (hPXR) against t
1920060,209,0,Dual reporter qHTS for antagonist of Pregnane X Receptor (hPXR) agains
1920061,209,0,Dual reporter qHTS for antagonist of Pregnane X Receptor (hPXR) agains
1805345,88,87,"PXR BINDING ASSAY from US Patent US10947203: ""1,4,5-substituted 1,2,3-"
1805346,88,85,"hPXR Tranxactivation Assays from US Patent US10947203: ""1,4,5-substitu"
1804137,87,86,"PXR Binding Assay from US Patent US10550091: ""1,4,5-substituted 1,2,3-"
1804138,87,85,"hPXR Tranxactivation Assays from US Patent US10550091: ""1,4,5-substitu"
1775046,83,80,Displacement of BODIPY FL vindoline from GST-tagged human PXR LBD incu
1775048,83,65,Agonist activity at human PXR expressed in HepG2 cells co-expressing l
1775050,83,6,Inverse agonist activity at human PXR expressed in HepG2 cells co-expr
1775052,83,30,Antagonist activity at human PXR expressed in HepG2 cells co-expressin
1936347,78,0,Inhibition of BODIPY FL vindoline binding to recombinant human GST-tag
1775047,77,0,Displacement of BODIPY FL vindoline from GST-tagged human PXR LBD at 1
1775049,66,0,Agonist activity at human PXR expressed in HepG2 cells co-expressing l
1660043,62,0,Activation of PXR (unknown origin) at 1 uM relative to control
1936352,60,54,Antagonist activity at human PXR in human HepG2 cells co-expressing lu
1936353,60,0,Antagonist activity at human PXR in human HepG2 cells co-expressing lu
1215094,59,36,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET 
1215095,58,0,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET 
1660044,56,0,Activation of PXR (unknown origin) at 5 uM relative to control
1215087,53,23,Activation of human PXR expressed in human HepG2 (DPX-2) cells assesse
1215086,52,17,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 2
1528150,50,31,Transactivation of human PXR receptor expressed in HEPG2 or DPX2 cells
1215089,48,0,Activation of human PXR expressed in human HepG2 (DPX-2) cells assesse
1215096,46,0,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 2
1678256,45,23,Activation of human PXR expressed in human HepG2 cells
1780035,45,7,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed
590402,43,7,Agonist activity at PXR
590403,43,0,Agonist activity at PXR at 10 uM
1215093,41,0,Activation of rat PXR expressed in human HepG2 cells up to 46 uM after
1936350,40,38,Inverse agonist activity at human PXR in human HepG2 cells co-expressi
1936351,40,0,Inverse agonist activity at human PXR in human HepG2 cells co-expressi
1494622,39,0,Inverse agonist activity at PXR LBD (unknown origin) expressed in HEK2
