id,v2_energy,v2_clashes,v3_energy,v3_clashes,n_heavy_atoms,recommended_version,reason
x03406-1,2.997,3,4.749,0,21,v3,disagree_pick_lower_clash
x02797-1,-10.456,11,4.252,0,26,v3,disagree_pick_lower_clash
x02865-1,19.432,7,14.243,0,24,v3,both_metrics_agree
x01334-1,-13.157,4,-13.156,0,16,v3,disagree_pick_lower_clash
x03325-1,-2.289,5,-0.033,8,21,v2,both_metrics_agree
x03026-1,5.32,1,3.774,0,22,v3,both_metrics_agree
x03462-1,73.143,7,73.12,0,27,v3,both_metrics_agree
x03145-1,-126.362,18,-127.41,6,27,v3,both_metrics_agree
x02872-1,72.499,9,72.462,0,22,v3,both_metrics_agree
x02696-1,109.285,12,105.651,7,24,v3,both_metrics_agree
x00463-1,9.247,7,8.936,0,17,v3,both_metrics_agree
x00046-1,-47.136,0,-47.166,0,11,v3,energy_only
x03273-1,1.794,6,6.152,0,19,v3,disagree_pick_lower_clash
x01131-1,-68.714,1,-68.549,0,11,v3,disagree_pick_lower_clash
