iter	MAE	RMSE
0	0.9496658098	1.182885328
1	0.9270548813	1.155802123
2	0.9054857821	1.130436436
3	0.8853867466	1.106899712
4	0.8659636641	1.084482214
5	0.8486135264	1.064174494
6	0.8329117508	1.046382798
7	0.8163896993	1.027502546
8	0.8006414042	1.00975681
9	0.7850459525	0.9923083723
10	0.7720379893	0.978526603
11	0.7589216992	0.9644689081
12	0.7483107546	0.9533486155
13	0.7364072544	0.9407683186
14	0.7253068369	0.9291189777
15	0.7163948682	0.9202030471
16	0.705416008	0.9092063274
17	0.6946442855	0.8981322854
18	0.6847201326	0.8882037498
19	0.6776615062	0.8810557961
20	0.6686780241	0.8719393863
21	0.6602841302	0.86377509
22	0.6516752676	0.8551146988
23	0.6438406876	0.847301015
24	0.6364861936	0.8399761008
25	0.6301087491	0.8341128069
26	0.6245988296	0.8292761399
27	0.6171940377	0.8221664261
28	0.6116621292	0.8163892446
29	0.6051270286	0.8103416603
30	0.5996760155	0.8050597567
31	0.5937635138	0.7990770291
32	0.5885029203	0.7935248198
33	0.5846625899	0.7896960687
34	0.5795343904	0.784174273
35	0.574619001	0.7791476649
36	0.5705396087	0.7749484095
37	0.5661083592	0.7702549646
38	0.5626085586	0.7665432278
39	0.5599396913	0.763660194
40	0.5561414568	0.7595789296
41	0.5527119316	0.7554583181
42	0.5500368481	0.7524958529
43	0.5469529051	0.7493108182
44	0.5440755606	0.7461555203
45	0.5407717478	0.7421961758
46	0.5381024008	0.7394429252
47	0.5358319851	0.7367991524
48	0.5335765754	0.734273275
49	0.5311800469	0.7311091349
50	0.5285376491	0.7273971441
51	0.5263099243	0.7246016182
52	0.5236912979	0.7215816724
53	0.5218164723	0.7193403257
54	0.5195914066	0.7166475473
55	0.5178128095	0.7140799059
56	0.5161457483	0.7120516789
57	0.5140612177	0.7094824585
58	0.5121065764	0.7072102076
59	0.5105984908	0.7053047184
60	0.5092304986	0.7035009369
61	0.5073942282	0.7014067986
62	0.5058947218	0.6996401057
63	0.5042264411	0.6977181465
64	0.503282629	0.6962838513
65	0.5017974386	0.6941623784
66	0.5000648481	0.6918606168
67	0.4981168774	0.6894994656
68	0.496313802	0.6870246929
69	0.4951254559	0.6856298999
70	0.4933484966	0.6832466701
71	0.4917846035	0.6811625919
72	0.4905805668	0.6793542881
73	0.4892631781	0.677607828
74	0.4882166305	0.6760050191
75	0.4867543062	0.6740976065
76	0.485379918	0.6721342685
77	0.4839080265	0.6699484964
78	0.4828350638	0.6684328634
79	0.4811695564	0.6661632973
80	0.4803570451	0.6649929126
81	0.4796460484	0.6639446186
82	0.4787128797	0.6625455761
83	0.4775879288	0.6611108236
84	0.47657661	0.6598575382
85	0.4757997568	0.6588797169
86	0.474859018	0.657638004
87	0.4741043582	0.6563140065
88	0.4730034744	0.6547654846
89	0.4724429071	0.653989833
90	0.4716438437	0.6526793103
91	0.4705019098	0.6508635025
92	0.4694167793	0.6493827129
93	0.4685310909	0.6480180808
94	0.46794683	0.6471848798
95	0.4668545147	0.6455621734
96	0.4655552057	0.643570558
97	0.4648942111	0.6426522877
98	0.4640627059	0.6413170155
99	0.4625610594	0.6390417603
100	0.4617826608	0.6377604212
101	0.4610767696	0.6368062415
102	0.4599639461	0.6352391046
103	0.4594671414	0.634263661
104	0.4586603144	0.6330859805
105	0.4580779036	0.6322104638
106	0.4573051535	0.6311672659
